SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
48.4,26075,21239,1120.9,3715.2,784.68,400,0.40667,0.32389,0.026937,0.055839
48.45,26021,21205,1122.4,3693.6,786.35,400,0.40586,0.32337,0.026972,0.055515
48.5,25966,21171,1123.8,3672,788.02,400,0.40505,0.32285,0.027008,0.05519
48.55,25912,21136,1125.3,3650.4,789.7,400,0.40424,0.32233,0.027044,0.054866
48.6,25858,21102,1126.8,3628.8,791.39,400,0.40342,0.3218,0.02708,0.054541
48.65,25803,21067,1128.4,3607.2,793.08,400,0.40261,0.32128,0.027117,0.054216
48.7,25749,21033,1129.9,3585.6,794.79,400,0.4018,0.32075,0.027153,0.053892
48.75,25694,20998,1131.4,3564,796.5,400,0.40098,0.32023,0.02719,0.053567
48.8,25639,20964,1133,3542.4,798.21,400,0.40017,0.3197,0.027227,0.053242
48.85,25585,20929,1134.5,3520.8,799.94,400,0.39935,0.31917,0.027265,0.052918
48.9,25530,20895,1136.1,3499.2,801.67,400,0.39854,0.31864,0.027302,0.052593
48.95,25475,20860,1137.7,3477.6,803.41,400,0.39772,0.31811,0.02734,0.052268
49,25420,20825,1139.2,3456,805.15,400,0.3969,0.31758,0.027378,0.051944
49.05,25365,20790,1140.8,3434.4,806.91,400,0.39609,0.31705,0.027417,0.051619
49.1,25311,20755,1142.4,3412.8,808.67,400,0.39527,0.31652,0.027455,0.051294
49.15,25256,20720,1144.1,3391.2,810.44,400,0.39445,0.31598,0.027494,0.05097
49.2,25201,20685,1145.7,3369.6,812.22,400,0.39363,0.31545,0.027533,0.050645
49.25,25145,20650,1147.3,3348,814,400,0.39281,0.31491,0.027573,0.05032
49.3,25090,20615,1149,3326.4,815.79,400,0.39199,0.31438,0.027612,0.049996
49.35,25035,20580,1150.6,3304.8,817.59,400,0.39116,0.31384,0.027652,0.049671
49.4,24980,20545,1152.3,3283.2,819.4,400,0.39034,0.3133,0.027692,0.049346
49.45,24925,20509,1154,3261.6,821.22,400,0.38952,0.31276,0.027733,0.049022
49.5,24869,20474,1155.7,3240,823.05,400,0.3887,0.31223,0.027773,0.048697
49.55,24814,20438,1157.4,3218.4,824.88,400,0.38787,0.31168,0.027814,0.048373
49.6,24759,20403,1159.1,3196.8,826.72,400,0.38705,0.31114,0.027856,0.048048
49.65,24703,20367,1160.8,3175.2,828.57,400,0.38622,0.3106,0.027897,0.047723
49.7,24648,20332,1162.6,3153.6,830.43,400,0.38539,0.31006,0.027939,0.047399
49.75,24592,20296,1164.3,3132,832.29,400,0.38457,0.30951,0.027981,0.047074
49.8,24537,20260,1166.1,3110.4,834.17,400,0.38374,0.30897,0.028023,0.046749
49.85,24481,20224,1167.9,3088.8,836.05,400,0.38291,0.30842,0.028066,0.046425
49.9,24425,20188,1169.7,3067.2,837.94,400,0.38208,0.30787,0.028109,0.0461
49.95,24369,20152,1171.5,3045.6,839.84,400,0.38125,0.30732,0.028152,0.045775
50,24314,20116,1173.3,3024,841.75,400,0.38042,0.30677,0.028196,0.045451
50.05,24258,20080,1175.1,3002.4,843.67,400,0.37959,0.30622,0.02824,0.045126
50.1,24202,20044,1176.9,2980.8,845.59,400,0.37876,0.30567,0.028284,0.044801
50.15,24146,20008,1178.8,2959.2,847.53,400,0.37793,0.30512,0.028328,0.044477
