SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
51.7,22382,18849,1243.2,2289.6,912.24,400,0.062062,0.028745,0.029876,0.0034413
51.8,22266,18772,1247.8,2246.4,916.76,400,0.061991,0.028627,0.029988,0.0033763
51.9,22150,18694,1252.6,2203.2,921.32,400,0.061922,0.028508,0.030102,0.0033114
52,22033,18616,1257.4,2160,925.93,400,0.061854,0.028389,0.030218,0.0032465
52.1,21917,18538,1262.3,2116.8,930.58,400,0.061787,0.02827,0.030335,0.0031816
52.2,21800,18459,1267.3,2073.6,935.28,400,0.061721,0.02815,0.030455,0.0031166
52.3,21683,18380,1272.3,2030.4,940.03,400,0.061657,0.028029,0.030576,0.0030517
52.4,21565,18300,1277.4,1987.2,944.82,400,0.061594,0.027908,0.030699,0.0029868
52.5,21447,18221,1282.6,1944,949.67,400,0.061532,0.027786,0.030824,0.0029218
52.6,21329,18140,1287.9,1900.8,954.56,400,0.061472,0.027664,0.030951,0.0028569
52.7,21211,18060,1293.3,1857.6,959.51,400,0.061414,0.027541,0.03108,0.002792
52.8,21092,17979,1298.8,1814.4,964.51,400,0.061356,0.027418,0.031212,0.002727
52.9,20973,17897,1304.3,1771.2,969.56,400,0.0613,0.027293,0.031345,0.0026621
53,20854,17816,1309.9,1728,974.66,400,0.061246,0.027169,0.03148,0.0025972
53.1,20734,17733,1315.7,1684.8,979.82,400,0.061194,0.027043,0.031618,0.0025323
53.2,20614,17651,1321.5,1641.6,985.03,400,0.061143,0.026917,0.031758,0.0024673
53.3,20494,17568,1327.4,1598.4,990.3,400,0.061093,0.026791,0.0319,0.0024024
53.4,20373,17484,1333.4,1555.2,995.62,400,0.061045,0.026664,0.032044,0.0023375
53.5,20252,17400,1339.5,1512,1001,400,0.061,0.026536,0.032191,0.0022725
53.6,20131,17316,1345.7,1468.8,1006.4,400,0.060955,0.026407,0.032341,0.0022076
53.7,20009,17231,1352.1,1425.6,1011.9,400,0.060913,0.026278,0.032493,0.0021427
53.8,19887,17146,1358.5,1382.4,1017.5,400,0.060873,0.026148,0.032647,0.0020777
53.9,19765,17060,1365,1339.2,1023.1,400,0.060834,0.026017,0.032804,0.0020128
54,19642,16974,1371.7,1296,1028.8,400,0.060798,0.025886,0.032964,0.0019479
54.1,19519,16888,1378.4,1252.8,1034.6,400,0.060763,0.025754,0.033127,0.001883
54.2,19395,16800,1385.3,1209.6,1040.4,400,0.060731,0.025621,0.033292,0.001818
54.3,19272,16713,1392.3,1166.4,1046.2,400,0.0607,0.025487,0.03346,0.0017531
54.4,19147,16625,1399.5,1123.2,1052.2,400,0.060672,0.025353,0.033631,0.0016882
54.5,19023,16536,1406.7,1080,1058.2,400,0.060646,0.025217,0.033806,0.0016232
54.6,18898,16447,1414.1,1036.8,1064.3,400,0.060623,0.025081,0.033983,0.0015583
54.7,18772,16357,1421.6,993.6,1070.4,400,0.060602,0.024945,0.034164,0.0014934
54.8,18647,16267,1429.2,950.4,1076.7,400,0.060583,0.024807,0.034347,0.0014285
54.9,18520,16176,1437,907.2,1083,400,0.060567,0.024668,0.034535,0.0013635
55,18394,16085,1445,864,1089.3,400,0.060553,0.024529,0.034725,0.0012986
55.1,18267,15993,1453,820.8,1095.8,400,0.060542,0.024389,0.034919,0.0012337
55.2,18139,15900,1461.3,777.6,1102.3,400,0.060533,0.024248,0.035117,0.0011687
