SAT,TotalPower,CoolingPower,FanPower,Reheat,Zone1ActualFlow,Zone2ActualFlow
57.4,15490,13784,1705.4,0,1268.4,410.96
57.5,15419,13697,1722.8,0,1277.1,413.79
57.6,15348,13608,1740.7,0,1286,416.67
57.7,15277,13518,1758.9,0,1295,419.58
57.8,15204,13426,1777.7,0,1304.1,422.54
57.9,15131,13334,1796.8,0,1313.4,425.53
58,15057,13240,1816.5,0,1322.8,428.57
58.1,14981,13145,1836.7,0,1332.3,431.65
58.2,14905,13048,1857.4,0,1341.9,434.78
58.3,14829,12950,1878.6,0,1351.7,437.96
58.4,14751,12851,1900.3,0,1361.7,441.18
58.5,14672,12750,1922.7,0,1371.7,444.44
58.6,14593,12647,1945.6,0,1382,447.76
58.7,14512,12543,1969.1,0,1392.4,451.13
58.8,14431,12438,1993.3,0,1402.9,454.55
58.9,14348,12330,2018.1,0,1413.6,458.02
59,14265,12222,2043.6,0,1424.5,461.54
59.1,14181,12111,2069.7,0,1435.5,465.12
59.2,14095,11999,2096.6,0,1446.8,468.75
59.3,14009,11885,2124.2,0,1458.2,472.44
59.4,13922,11769,2152.6,0,1469.7,476.19
59.5,13833,11651,2181.9,0,1481.5,480
59.6,13743,11532,2211.9,0,1493.4,483.87
59.7,13653,11410,2242.8,0,1505.6,487.8
59.8,13561,11287,2274.6,0,1517.9,491.8
59.9,13468,11161,2307.3,0,1530.5,495.87
60,13374,11033,2341,0,1543.2,500
60.1,13279,10904,2375.6,0,1556.2,504.2
60.2,13183,10772,2411.3,0,1569.4,508.47
60.3,13085,10637,2448.1,0,1582.8,512.82
60.4,12987,10501,2486,0,1596.4,517.24
60.5,12887,10362,2525.1,0,1610.3,521.74
60.6,12786,10220,2565.3,0,1624.4,526.32
60.7,12683,10076,2606.8,0,1638.8,530.97
60.8,12580,9930,2649.7,0,1653.4,535.71
60.9,12475,9780.9,2693.8,0,1668.3,540.54
61,12369,9629.1,2739.4,0,1683.5,545.45
61.1,12261,9474.5,2786.5,0,1698.9,550.46
61.2,12152,9317,2835.1,0,1714.7,555.56
61.3,12042,9156.6,2885.3,0,1730.7,560.75
61.4,11930,8993.2,2937.2,0,1747,566.04
61.5,11818,8826.7,2990.8,0,1763.7,571.43
61.6,11703,8656.9,3046.3,0,1780.6,576.92
61.7,11587,8483.9,3103.6,0,1797.9,582.52
61.8,11470,8307.5,3162.9,0,1815.5,588.24
61.9,11352,8127.5,3224.3,0,1833.5,594.06
62,11232,7944,3287.9,0,1851.9,600
62.1,11110,7756.8,3353.7,0,1870.6,606.06
62.2,10988,7565.7,3421.9,0,1889.6,612.24
62.3,10863,7370.7,3492.5,0,1909.1,618.56
62.4,10737,7171.7,3565.8,0,1929,625
62.5,10610,6968.4,3641.8,0,1949.3,631.58
62.6,10481,6760.9,3720.6,0,1970.1,638.3
62.7,10351,6548.8,3802.5,0,1991.2,645.16
62.8,10220,6332.2,3887.4,0,2012.9,652.17
62.9,10086,6110.8,3975.7,0,2035,659.34
63,9951.8,5884.4,4067.4,0,2057.6,666.67
63.1,9815.8,5653,4162.8,0,2080.7,674.16
63.2,9678.3,5416.4,4261.9,0,2104.4,681.82
63.3,9539.4,5174.3,4365.1,0,2128.6,689.66
63.4,9399.1,4926.5,4472.6,0,2153.3,697.67
63.5,9257.4,4672.9,4584.5,0,2178.6,705.88
63.6,9114.4,4413.3,4701.1,0,2204.6,714.29
63.7,8970.2,4147.5,4822.7,0,2231.1,722.89
63.8,8824.6,3875.1,4949.5,0,2258.4,731.71
63.9,8677.9,3596,5081.8,0,2286.2,740.74
64,8530,3310,5220,0,2314.8,750
64.1,8381.1,3016.7,5364.4,0,2344.1,759.49
64.2,8231.2,2715.9,5515.3,0,2374.2,769.23
64.3,8080.4,2407.3,5673.1,0,2405,779.22
64.4,7928.8,2090.5,5838.3,0,2436.6,789.47
64.5,7776.6,1765.3,6011.2,0,2469.1,800
64.6,7623.8,1431.4,6192.5,0,2502.5,810.81
64.7,7470.7,1088.2,6382.5,0,2536.8,821.92
64.8,7317.3,735.56,6581.8,0,2572,833.33
64.9,7164,372.96,6791,0,2608.2,845.07
65,7010.9,0,7010.9,0,2645.5,857.14
