Date	ZoneLoadforContainerFPVAV27	ZoneLoadResidualforContainerFPVAV27	
42430.375	1026	-108	
42430.3854166667	972	-81	
42430.3958333333	1026	-162	
42430.40625	1134	-270	
42430.4166666667	1188	-297	
42430.4270833333	1134	-135	
42430.4375	1134	-135	
42430.4479166667	1242	-216	
42430.4583333333	1242	-216	
42430.46875	1134	-108	
42430.4791666667	1026	0	
42430.4895833333	1404	-378	
42430.5	1458	-432	
42430.5104166667	1350	-324	
42430.5208333333	1404	-432	
42430.53125	1404	-459	
42430.5416666667	1296	-162	
42430.5520833333	1674	-540	
42430.5625	1674	-486	
42430.5729166667	1620	-486	
42430.5833333333	1728	-540	
42430.59375	1890	-675	
42430.6041666667	1998	-783	
42430.6145833333	2106	-810	
42430.625	2322	-918	
42430.6354166667	2268	-756	
42430.6458333333	2268	-756	
42430.65625	2214	-486	
42430.6666666667	1782	-54	
42430.6770833333	1944	-270	
42430.6875	1890	-216	
42430.6979166667	2214	-648	
42431.375	1026	-108	
42431.3854166667	864	108	
42431.3958333333	1080	-108	
42431.40625	918	108	
42431.4166666667	1242	-270	
42431.4270833333	972	108	
42431.4375	972	54	
42431.4479166667	972	0	
42431.4583333333	972	0	
42431.46875	918	54	
42431.4791666667	1134	-81	
42431.4895833333	1026	27	
42431.5	1026	27	
42431.5104166667	1080	-27	
42431.5208333333	864	135	
42431.53125	1026	-27	
42431.5416666667	972	0	
42431.5520833333	1026	-54	
42431.5625	1134	-189	
42431.5729166667	1080	-54	
42431.5833333333	1134	-135	
42431.59375	1134	-108	
42431.6041666667	1026	0	
42431.6145833333	1080	-54	
42431.625	1188	-216	
42431.6354166667	972	27	
42431.6458333333	756	216	
42431.65625	810	0	
42431.6666666667	1188	-270	
42431.6770833333	1188	-270	
42431.6875	1296	-378	
42431.6979166667	1566	-702	
42432.375	864	108	
42432.3854166667	864	0	
42432.3958333333	972	-108	
42432.40625	918	27	
42432.4166666667	918	216	
42432.4270833333	1134	54	
42432.4375	1188	108	
42432.4479166667	1026	324	
42432.4583333333	1080	432	
42432.46875	1188	324	
42432.4791666667	1296	432	
42432.4895833333	1350	378	
42432.5	1188	540	
42432.5104166667	1026	378	
42432.5208333333	972	432	
42432.53125	864	675	
42432.5416666667	972	756	
42432.5520833333	1134	567	
42432.5625	1188	540	
42432.5729166667	1296	648	
42432.5833333333	1566	378	
42432.59375	1566	135	
42432.6041666667	1674	-108	
42432.6145833333	1296	270	
42432.625	1404	270	
42432.6354166667	1458	108	
42432.6458333333	1728	-162	
42432.65625	1728	-162	
42432.6666666667	1836	-378	
42432.6770833333	1998	-621	
42432.6875	2106	-864	
42432.6979166667	2052	-783	
42433.375	972	-108	
42433.3854166667	1080	-216	
42433.3958333333	1026	-216	
42433.40625	1080	-297	
42433.4166666667	972	-81	
42433.4270833333	1134	-270	
42433.4375	864	0	
42433.4479166667	1026	-216	
42433.4583333333	1026	-243	
42433.46875	972	-162	
42433.4791666667	918	-81	
42433.4895833333	810	135	
42433.5	918	-81	
42433.5104166667	864	0	
42433.5208333333	864	0	
42433.53125	864	0	
42433.5416666667	918	-54	
42433.5520833333	486	324	
42433.5625	270	540	
42433.5729166667	432	486	
42433.5833333333	540	405	
42433.59375	702	270	
42433.6041666667	810	378	
42433.6145833333	918	54	
42433.625	810	162	
42433.6354166667	864	108	
42433.6458333333	864	108	
42433.65625	918	27	
42433.6666666667	810	108	
42433.6770833333	810	81	
42433.6875	702	108	
42433.6979166667	702	54	
42436.375	810	81	
42436.3854166667	864	108	
42436.3958333333	918	54	
42436.40625	1026	-108	
42436.4166666667	918	27	
42436.4270833333	918	54	
42436.4375	972	-81	
42436.4479166667	1026	-216	
42436.4583333333	1026	-216	
42436.46875	1026	-216	
42436.4791666667	918	-216	
42436.4895833333	1026	-270	
42436.5	1026	-216	
42436.5104166667	1080	-162	
42436.5208333333	1242	-216	
42436.53125	1404	-270	
42436.5416666667	1404	-162	
42436.5520833333	1296	-54	
42436.5625	1350	-108	
42436.5729166667	1350	-108	
42436.5833333333	1404	0	
42436.59375	1512	-108	
42436.6041666667	1620	-162	
42436.6145833333	1458	0	
42436.625	1404	27	
42436.6354166667	1512	-108	
42436.6458333333	1728	-459	
42436.65625	1512	-270	
42436.6666666667	1404	-243	
42436.6770833333	1350	-243	
42436.6875	1404	-486	
42436.6979166667	1620	-648	
42437.375	918	81	
42437.3958333333	918	108	
42437.40625	1134	-108	
42437.4166666667	1026	0	
42437.4270833333	1134	-108	
42437.4375	1134	-108	
42437.4479166667	1188	-108	
42437.4583333333	1242	-189	
42437.46875	1026	0	
42437.4791666667	1026	0	
42437.4895833333	972	27	
42437.5	1026	0	
42437.5104166667	1026	0	
42437.5208333333	1026	0	
42437.53125	810	216	
42437.5416666667	1080	-27	
42437.5520833333	1296	-162	
42437.5625	1296	0	
42437.5729166667	1296	54	
42437.5833333333	1620	-270	
42437.59375	1620	-216	
42437.6041666667	1944	-486	
42437.6145833333	2052	-432	
42437.625	2052	-432	
42437.6354166667	1944	-270	
42437.6458333333	1998	-270	
42437.65625	1836	-54	
42437.6666666667	1782	0	
42437.6770833333	2052	-324	
42437.6875	2376	-702	
42437.6979166667	2754	-1107	
42438.375	918	-162	
42438.40625	918	297	
42438.4166666667	918	54	
42438.4270833333	810	216	
42438.4375	972	0	
42438.4479166667	810	162	
42438.4583333333	864	108	
42438.46875	864	108	
42438.4791666667	918	54	
42438.4895833333	972	-54	
42438.5	810	108	
42438.5104166667	972	-135	
42438.5208333333	972	-108	
42438.53125	864	0	
42438.5416666667	1026	-216	
42438.5520833333	918	-162	
42438.5625	918	-162	
42438.5729166667	1134	-378	
42438.5833333333	1026	-81	
42438.59375	1242	-297	
42438.6041666667	1296	-351	
42438.6145833333	1188	-270	
42438.625	1188	-270	
42438.6354166667	1350	-432	
42438.6458333333	1404	-432	
42438.65625	1404	-432	
42438.6666666667	1242	-270	
42438.6770833333	1350	-378	
42438.6875	1404	-378	
42438.6979166667	1404	-432	
42439.375	918	-108	
42439.3854166667	864	-27	
42439.3958333333	810	0	
42439.40625	864	-27	
42439.4166666667	918	-54	
42439.4270833333	1026	-108	
42439.4375	1134	-189	
42439.4479166667	1134	-162	
42439.4583333333	1080	-108	
42439.46875	1134	-162	
42439.4791666667	1242	-270	
42439.4895833333	1080	-162	
42439.5	972	-54	
42439.5104166667	1026	-108	
42439.5208333333	1026	-108	
42439.53125	918	27	
42439.5416666667	1026	-81	
42439.5520833333	1188	-270	
42439.5625	1188	-270	
42439.5729166667	1242	-324	
42439.5833333333	1296	-378	
42439.59375	1350	-432	
42439.6041666667	1512	-540	
42439.6145833333	1512	-594	
42439.625	1512	-540	
42439.6354166667	1728	-702	
42439.6458333333	1728	-783	
42439.65625	1836	-918	
42439.6666666667	1836	-918	
42439.6770833333	1782	-891	
42439.6875	1782	-891	
42439.6979166667	1674	-756	
42440.375	648	216	
42440.3854166667	810	81	
42440.3958333333	756	216	
42440.40625	864	108	
42440.4166666667	756	189	
42440.4270833333	918	0	
42440.4375	918	-54	
42440.4479166667	1026	-162	
42440.4583333333	918	54	
42440.46875	1026	-162	
42440.4791666667	918	-54	
42440.4895833333	1026	-162	
42440.5	1134	-162	
42440.5104166667	1080	-108	
42440.5208333333	1080	-216	
42440.53125	1242	-378	
42440.5416666667	1242	-378	
42440.5520833333	1026	-540	
42440.5625	1080	-648	
42440.5729166667	1296	-810	
42440.5833333333	1404	-594	
42440.59375	1404	-513	
42440.6041666667	1026	-108	
42440.6145833333	1188	-270	
42440.625	1188	-270	
42440.6354166667	1188	-270	
42440.6458333333	1026	-108	
42440.65625	972	-54	
42440.6666666667	756	162	
42440.6770833333	810	54	
42440.6875	864	-108	
42440.6979166667	864	-108	
