Date	OADryBulbTemperatureNOAA	ZoneLoadforContainerFPVAV29	
42475.3229166667	55.94	5184	
42468.0833333333	56.066	3240	
42461.65625	56.084	3240	
42466.1979166667	56.084	3240	
42475.1979166667	56.084	4536	
42475.3333333333	56.0920689655172	5832	
42465.1145833333	56.204	3240	
42475.2604166667	56.3194594594595	3240	
42468.09375	56.336	3240	
42461.6458333333	56.354	3240	
42466.1875	56.354	3240	
42475.1875	56.354	3240	
42466.2083333333	56.36	3240	
42475.34375	56.4179310344828	7128	
42466.25	56.57	5832	
42468.1041666667	56.606	3240	
42461.6354166667	56.624	1944	
42466.1770833333	56.624	3240	
42475.1770833333	56.624	3240	
42465.1041666667	56.699	3240	
42475.3541666667	56.7437931034483	7128	
42475.2708333333	56.7572972972973	3240	
42468.1145833333	56.876	3240	
42462.4270833333	56.888	3888	
42461.625	56.894	1944	
42466.1666666667	56.894	3240	
42475.1666666667	56.894	3240	
42461.3229166667	57.02	3240	
42466.2604166667	57.02	5832	
42466.2708333333	57.02	6480	
42466.28125	57.02	6480	
42466.2916666667	57.02	3240	
42468.125	57.02	3240	
42468.1458333333	57.02	3240	
42468.15625	57.02	3240	
42475.2916666667	57.02	3240	
42466.21875	57.0384615384615	3240	
42475.3645833333	57.0696551724138	7128	
42466.2291666667	57.1076923076923	5184	
42475.28125	57.11	3240	
42468.1666666667	57.125	3240	
42469.25	57.125	3240	
42465.3645833333	57.128	7128	
42466.9895833333	57.14	3888	
42469.2395833333	57.14	3240	
42474.28125	57.14	3240	
42466.2395833333	57.1769230769231	5832	
42465.09375	57.194	3240	
42461.3125	57.2114893617021	2592	
42463.3854166667	57.218	3888	
42462.9166666667	57.227	1944	
42475.15625	57.284	3240	
42483.28125	57.284	3240	
42468.1770833333	57.35	3240	
42469.2604166667	57.35	3240	
42466.9791666667	57.365	3888	
42469.2291666667	57.365	3240	
42474.2708333333	57.365	3240	
42466.15625	57.428	3240	
42461.3020833333	57.4987234042553	3240	
42474.2916666667	57.5046153846154	3240	
42468.1875	57.575	3240	
42469.2708333333	57.575	3240	
42466.96875	57.59	3240	
42469.21875	57.59	3240	
42474.2604166667	57.59	3240	
42461.3333333333	57.608	3888	
42466.3020833333	57.614	3240	
42467.3645833333	57.656	4536	
42465.0833333333	57.689	3240	
42464.375	57.713	7128	
42483.2916666667	57.713	3240	
42475.1458333333	57.779	3240	
42483.2708333333	57.779	3240	
42461.2916666667	57.7859574468085	4536	
42468.1979166667	57.8	3240	
42469.28125	57.8	3240	
42466.9583333333	57.815	3888	
42469.2083333333	57.815	3240	
42474.25	57.815	5184	
42469.125	57.92	3240	
42469.1354166667	57.92	3240	
42469.1458333333	57.92	3240	
42469.15625	57.92	3240	
42469.1666666667	57.92	3240	
42469.1770833333	57.92	3240	
42469.1875	57.92	3240	
42469.1979166667	57.92	3240	
42475.375	57.92	8424	
42475.3854166667	57.92	8424	
42461.6145833333	57.956	648	
42475.3958333333	58.0064	8424	
42469.2916666667	58.046	2592	
42469.1145833333	58.064	3240	
42474.2395833333	58.064	5184	
42462.4375	58.148	3888	
42466.1458333333	58.193	3240	
42461.28125	58.208	3240	
42466.9479166667	58.208	3888	
42483.2604166667	58.274	3888	
42469.3020833333	58.316	3240	
42462.90625	58.328	1944	
42463.9895833333	58.328	3240	
42469.1041666667	58.334	4536	
42474.2291666667	58.334	5184	
42466.3125	58.3565	3240	
42468.2083333333	58.508	5184	
42469.3125	58.586	3240	
42469.09375	58.604	3888	
42474.21875	58.604	3240	
42475.40625	58.6544	7776	
42463.3958333333	58.703	3888	
42465.375	58.739	7128	
42461.2708333333	58.748	3240	
42466.9375	58.748	3888	
42475.125	58.769	3240	
42483.25	58.769	3240	
42469.3229166667	58.856	4536	
42461.34375	58.868	3888	
42474.2083333333	58.874	3240	
42466.1354166667	58.958	3240	
42466.3229166667	59	3240	
42474.3020833333	59	3240	
42474.3125	59	3240	
42474.3229166667	59	3240	
42474.3333333333	59	3240	
42475.0833333333	59	3240	
42475.09375	59	3240	
42475.1041666667	59	3240	
42475.1145833333	59	3240	
42483.125	59	3240	
42483.1458333333	59	3240	
42483.15625	59	3240	
42483.1666666667	59	3240	
42483.1770833333	59	3240	
42483.1875	59	4536	
42483.1979166667	59	3888	
42483.2083333333	59	4536	
42483.21875	59	3888	
42483.2291666667	59	3888	
42483.2395833333	59	3888	
42462.8958333333	59.093	1944	
42463.9791666667	59.093	1944	
42474.34375	59.1157142857143	5832	
42468.3229166667	59.144	3240	
42474.9479166667	59.144	3240	
42475.0729166667	59.144	3240	
42464.3854166667	59.198	8424	
42483.3020833333	59.198	3240	
42475.4166666667	59.231	6480	
42474.1979166667	59.2541176470588	3240	
42483.1145833333	59.264	3240	
42484.28125	59.264	3240	
42461.2604166667	59.288	3240	
42466.9270833333	59.288	3888	
42474.9583333333	59.378	3240	
42462.4479166667	59.408	3888	
42468.3125	59.414	3240	
42474.9375	59.414	3240	
42475.0625	59.414	3240	
42469.3333333333	59.462	2592	
42484.2916666667	59.462	3240	
42468.3333333333	59.588	3240	
42466.3333333333	59.63	5184	
42468.3020833333	59.684	3240	
42474.9270833333	59.684	3240	
42474.3541666667	59.6942857142857	7128	
42461.6041666667	59.711	1944	
42466.125	59.723	3240	
42475.4270833333	59.726	6480	
42474.1875	59.7305882352941	3240	
42483.1041666667	59.759	4536	
42484.2708333333	59.759	2592	
42468.21875	59.768	5184	
42461.25	59.828	3240	
42466.9166666667	59.828	3888	
42462.8854166667	59.858	2592	
42463.96875	59.858	648	
42467.375	59.924	5184	
42468.2916666667	59.954	3240	
42474.9166666667	59.954	3888	
42466.09375	60.08	1944	
42466.1041666667	60.08	3240	
42466.1145833333	60.08	3240	
42466.34375	60.08	5832	
42466.3541666667	60.08	5832	
42466.3645833333	60.08	7776	
42474.96875	60.08	3240	
42474.9791666667	60.08	1944	
42474.9895833333	60.08	1944	
42482.25	60.08	3240	
42482.2604166667	60.08	3240	
42482.2708333333	60.08	3240	
42482.28125	60.08	3240	
42466.375	60.1166666666667	8424	
42461.3541666667	60.128	3888	
42463.40625	60.188	3240	
42464.9895833333	60.2	3240	
42474.90625	60.2	3888	
42474.1770833333	60.2184615384615	3240	
42475.4375	60.221	7776	
42483.09375	60.254	3888	
42484.2604166667	60.254	3240	
42482.2916666667	60.311	3240	
42461.2395833333	60.344	3240	
42482.2395833333	60.344	3240	
42464.9791666667	60.425	2592	
42474.8958333333	60.425	3888	
42474.3645833333	60.4261538461538	7128	
42469.34375	60.452	2592	
42484.3020833333	60.452	3888	
42468.28125	60.464	3240	
42465.3854166667	60.494	8424	
42466.90625	60.608	3888	
42476.0833333333	60.6130769230769	5832	
42462.875	60.623	2592	
42463.9583333333	60.623	648	
42462.4583333333	60.647	2592	
42464.96875	60.65	3888	
42474.8854166667	60.65	1944	
42466.3854166667	60.6666666666667	7128	
42464.3958333333	60.683	8424	
42483.3125	60.683	3240	
42475.4479166667	60.716	7776	
42474.1666666667	60.7376923076923	3240	
42483.0833333333	60.749	5832	
42484.25	60.749	3240	
42482.3020833333	60.806	3240	
42461.2291666667	60.839	3240	
42482.2291666667	60.839	3240	
42468.34375	60.848	5184	
42473.2395833333	60.872	5184	
42464.9583333333	60.875	3240	
42474.875	60.875	1944	
42473.2083333333	60.98	3240	
42473.21875	60.98	3240	
42473.2291666667	60.98	5832	
42473.25	60.98	5184	
42473.2604166667	60.98	7128	
42473.2708333333	60.98	7128	
42473.28125	60.98	4536	
42473.2916666667	60.98	4536	
42473.3020833333	60.98	3240	
42473.3125	60.98	1944	
42473.3229166667	60.98	3888	
42474.1458333333	60.98	3240	
42474.15625	60.98	3240	
42480.3333333333	60.98	5832	
42480.34375	60.98	7128	
42480.3541666667	60.98	7128	
42483.0729166667	60.98	5184	
42484.2083333333	60.98	3240	
42484.21875	60.98	3240	
42484.2291666667	60.98	3240	
42484.2395833333	60.98	3240	
42468.2291666667	61.028	3240	
42476.1354166667	61.06	3240	
42474.375	61.106	7128	
42463.9479166667	61.124	648	
42484.1979166667	61.124	3240	
42473.3333333333	61.1342857142857	3240	
42481.34375	61.148	3240	
42473.1979166667	61.1763636363636	3888	
42468.2708333333	61.184	3240	
42466.3958333333	61.2166666666667	7776	
42462.8645833333	61.244	1944	
42464.9479166667	61.244	3888	
42467.9895833333	61.244	1944	
42474.8645833333	61.244	3888	
42482.3125	61.301	3240	
42461.21875	61.334	3240	
42482.21875	61.334	3240	
42474.1354166667	61.34	3240	
42474.3854166667	61.376	7128	
42461.3645833333	61.388	3888	
42463.9375	61.394	648	
42484.1875	61.394	3240	
42469.3541666667	61.442	2592	
42484.3125	61.442	2592	
42463.4166666667	61.442	4536	
42475.4583333333	61.442	7776	
42473.34375	61.4648979591837	5832	
42461.59375	61.466	3240	
42481.3541666667	61.508	5832	
42480.3645833333	61.52	7776	
42473.1875	61.5445454545455	3888	
42466.8958333333	61.598	3888	
42474.3958333333	61.646	7128	
42476.1458333333	61.66	3888	
42463.9270833333	61.664	648	
42484.1770833333	61.664	3240	
42462.8541666667	61.739	1296	
42464.9375	61.739	5184	
42467.9791666667	61.739	3888	
42474.8541666667	61.739	3888	
42476.09375	61.7553846153846	5832	
42466.40625	61.7666666666667	6480	
42473.3541666667	61.7955102040816	5832	
42482.3229166667	61.796	3240	
42461.2083333333	61.829	3240	
42482.2083333333	61.829	3240	
42474.125	61.8309090909091	3240	
42480.3229166667	61.844	3888	
42462.46875	61.862	2592	
42481.3645833333	61.868	7776	
42468.2604166667	61.904	3240	
42467.3854166667	61.904	5184	
42473.1770833333	61.9127272727273	3888	
42474.40625	61.916	6480	
42463.9166666667	61.934	1296	
42484.1666666667	61.934	3240	
42470.25	62.06	2592	
42470.2604166667	62.06	2592	
42470.2708333333	62.06	2592	
42470.28125	62.06	2592	
42470.2916666667	62.06	2592	
42473.0833333333	62.06	3240	
42473.09375	62.06	3240	
42473.125	62.06	3888	
42473.1354166667	62.06	3888	
42473.1458333333	62.06	1944	
42473.15625	62.06	3240	
42473.1666666667	62.06	3240	
42473.3645833333	62.06	5832	
42474.0729166667	62.06	3240	
42474.0833333333	62.06	3240	
42474.09375	62.06	3240	
42474.1041666667	62.06	3240	
42474.1145833333	62.06	1944	
42476.1875	62.06	5184	
42476.1979166667	62.06	5184	
42480.375	62.06	8424	
42480.3854166667	62.06	8424	
42480.3958333333	62.06	6480	
42480.40625	62.06	6480	
42481.375	62.06	7776	
42481.3854166667	62.06	9072	
42484.125	62.06	1944	
42484.1354166667	62.06	3240	
42484.1458333333	62.06	3240	
42484.15625	62.06	3240	
42476.1041666667	62.0975	5832	
42468.3541666667	62.108	5832	
42461.375	62.165	3888	
42465.9583333333	62.165	2592	
42473.375	62.165	7128	
42474.4166666667	62.165	7128	
42464.40625	62.168	8424	
42483.3229166667	62.168	3240	
42470.3020833333	62.1725	2592	
42461.1979166667	62.18	3240	
42470.2395833333	62.18	3240	
42482.1979166667	62.18	3240	
42476.2083333333	62.2257894736842	3240	
42462.84375	62.234	1296	
42464.9270833333	62.234	3888	
42467.96875	62.234	3240	
42474.84375	62.234	3240	
42465.3958333333	62.249	8424	
42473.1041666667	62.2664705882353	3240	
42476.125	62.267	4536	
42468.2395833333	62.288	3240	
42480.4166666667	62.291	9720	
42463.90625	62.324	1296	
42484.1145833333	62.324	1944	
42481.3958333333	62.3511764705882	8424	
42466.4166666667	62.36	9072	
42461.3854166667	62.39	2592	
42465.96875	62.39	3240	
42473.3854166667	62.39	7128	
42474.4270833333	62.39	6480	
42461.1875	62.405	3240	
42470.2291666667	62.405	3240	
42482.1875	62.405	3240	
42476.15625	62.4061538461538	3888	
42476.1770833333	62.4061538461538	3240	
42469.3645833333	62.432	2592	
42484.3229166667	62.432	2592	
42463.4270833333	62.432	4536	
42475.46875	62.432	6480	
42468.9895833333	62.444	3240	
42481.3333333333	62.5	3240	
42473.1145833333	62.5047058823529	1944	
42476.21875	62.5810526315789	3888	
42465.9479166667	62.588	3888	
42466.8854166667	62.588	3888	
42470.3125	62.594375	2592	
42461.3958333333	62.615	3888	
42465.9791666667	62.615	3240	
42473.3958333333	62.615	8424	
42474.4375	62.615	6480	
42468.25	62.624	3240	
42482.3333333333	62.627	3240	
42461.1770833333	62.63	3240	
42470.21875	62.63	3240	
42482.1770833333	62.63	3240	
42470.1145833333	62.6372413793103	3240	
42487.1979166667	62.6439024390244	3240	
42476.1145833333	62.66	4536	
42476.2395833333	62.6635294117647	4536	
42473.0729166667	62.7136842105263	4536	
42462.8333333333	62.729	1296	
42464.9166666667	62.729	3888	
42467.9583333333	62.729	3888	
42474.8333333333	62.729	3240	
42470.1041666667	62.7303448275862	1944	
42481.40625	62.7482352941176	7128	
42487.1875	62.7756097560976	648	
42473.9895833333	62.78	3240	
42480.4270833333	62.786	6480	
42463.8958333333	62.819	1296	
42484.1041666667	62.819	1944	
42461.40625	62.84	3240	
42465.9895833333	62.84	3240	
42473.40625	62.84	8424	
42474.4479166667	62.84	7128	
42461.1666666667	62.855	3240	
