Date	ZoneLoadforFPB02	ZoneLoadforFPB03	ZoneLoadforFPB04	ZoneLoadforFPB05	ZoneLoadforFPB06	ZoneLoadforFPB07	ZoneLoadforFPB08	ZoneLoadforFPB09	ZoneLoadforFPB11	ZoneLoadforFPB12	ZoneLoadforFPB13	ZoneLoadforFPB14	ZoneLoadforFPB15	
42662	2651.425488	2976.37956	3117.05171999999	0	217.793664	5024.181492	4890.48030000001	5549.707872	2906.846352	923.955335999998	465.067979999997	1970.882388	2034.595152
42662.0034722222	3259.1592	3684.04416	4327.362468	0	234.09	5851.47888	5825.31858000001	6205.459896	3182.584608	1215.37497599999	465.067979999997	2345.39712	2457.67284
42662.0069444444	3259.1592	3684.04416	4327.362468	0	234.09	5851.47888	5825.31858000001	6205.459896	3182.584608	1215.37497599999	465.067979999997	2345.39712	2457.67284
42662.0104166667	3259.1592	3684.04416	4327.362468	0	234.09	5851.47888	5825.31858000001	6205.459896	3182.584608	1215.37497599999	465.067979999997	2345.39712	2457.67284
42662.0138888889	3222.7416	3477.620304	4019.4468	0	212.007456	5896.58205599999	5704.77837600001	5917.760748	3159.195372	1142.279064	465.067979999997	2354.448384	2400.034536
42662.0173611111	3222.7416	3477.620304	4019.4468	0	212.007456	5896.58205599999	5704.77837600001	5917.760748	3159.195372	1142.279064	465.067979999997	2354.448384	2400.034536
42662.0208333333	3222.7416	3477.620304	4019.4468	0	212.007456	5896.58205599999	5704.77837600001	5917.760748	3159.195372	1142.279064	465.067979999997	2354.448384	2400.034536
42662.0243055556	2464.937892	2795.539392	3083.2056	0	185.476176	4905.27576	4663.878912	5298.615648	2790.553032	898.074540000004	465.067979999997	1895.529168	2099.484576
42662.0277777778	2464.937892	2795.539392	3083.2056	0	185.476176	4905.27576	4663.878912	5298.615648	2790.553032	898.074540000004	465.067979999997	1895.529168	2099.484576
42662.03125	2464.937892	2795.539392	3083.2056	0	185.476176	4905.27576	4663.878912	5298.615648	2790.553032	898.074540000004	465.067979999997	1895.529168	2099.484576
42662.0347222222	3201.408576	3587.097528	4170.58956	0	207.559800000001	5716.890576	5707.0224	6007.03992	3017.478096	1134.604152	465.067979999997	2361.682656	2394.658728
42662.0381944444	3201.408576	3587.097528	4170.58956	0	207.559800000001	5716.890576	5707.0224	6007.03992	3017.478096	1134.604152	465.067979999997	2361.682656	2394.658728
42662.0416666667	3201.408576	3587.097528	4170.58956	0	207.559800000001	5716.890576	5707.0224	6007.03992	3017.478096	1134.604152	465.067979999997	2361.682656	2394.658728
42662.0451388889	2851.142868	3082.678128	3542.281632	0	181.029599999999	5251.87314	5042.724336	5789.07	2917.10214	996.222239999998	465.067979999997	2039.70020400001	2119.286592
42662.0486111111	2851.142868	3082.678128	3542.281632	0	181.029599999999	5251.87314	5042.724336	5789.07	2917.10214	996.222239999998	465.067979999997	2039.70020400001	2119.286592
42662.0520833333	2851.142868	3082.678128	3542.281632	0	181.029599999999	5251.87314	5042.724336	5789.07	2917.10214	996.222239999998	465.067979999997	2039.70020400001	2119.286592
42662.0555555556	2549.742624	2855.134656	3135.295944	0	174.06576	4858.858872	4747.162464	5333.98305599999	2722.9716	889.378812	465.067979999997	1971.697032	497.617344000002
42662.0590277778	2549.742624	2855.134656	3135.295944	0	174.06576	4858.858872	4747.162464	5333.98305599999	2722.9716	889.378812	465.067979999997	1971.697032	497.617344000002
42662.0625	2549.742624	2855.134656	3135.295944	0	174.06576	4858.858872	4747.162464	5333.98305599999	2722.9716	889.378812	465.067979999997	1971.697032	497.617344000002
42662.0659722222	3687.041268	3946.167072	4716.80496	0	209.34936	6577.685892	6344.595216	6575.115384	3425.7546	1362.153888	465.067979999997	2756.423844	622.021679999997
42662.0694444444	3687.041268	3946.167072	4716.80496	0	209.34936	6577.685892	6344.595216	6575.115384	3425.7546	1362.153888	465.067979999997	2756.423844	622.021679999997
42662.0729166667	3687.041268	3946.167072	4716.80496	0	209.34936	6577.685892	6344.595216	6575.115384	3425.7546	1362.153888	465.067979999997	2756.423844	622.021679999997
42662.0763888889	2878.727148	3156.908256	3670.376976	0	174.152916	5399.19756	5106.239136	5727.31992	2875.8564	1014.794676	465.067979999997	2231.42688	537.754032000003
42662.0798611111	2878.727148	3156.908256	3670.376976	0	174.152916	5399.19756	5106.239136	5727.31992	2875.8564	1014.794676	465.067979999997	2231.42688	537.754032000003
42662.0833333333	2878.727148	3156.908256	3670.376976	0	174.152916	5399.19756	5106.239136	5727.31992	2875.8564	1014.794676	465.067979999997	2231.42688	537.754032000003
42662.0868055556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.0902777778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.09375	2608.527348	2965.139136	3177.188172	0	167.400648	5017.88455200001	4846.82292	5334.28156799999	2965.99158	974.532384000004	465.067979999997	2022.62508	507.808224000001
42662.0972222222	3180.196944	3508.562952	4141.04076	0	172.682496000001	5829.009804	5607.60505199999	6125.821668	3011.4747	1136.414772	465.067979999997	2404.15344	547.242156000003
42662.1006944444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1041666667	3180.196944	3508.562952	4141.04076	0	172.682496000001	5829.009804	5607.60505199999	6125.821668	3011.4747	1136.414772	465.067979999997	2404.15344	547.242156000003
42662.1076388889	2717.41824	2975.848416	3335.619744	0	151.786439999999	5281.82369999999	4942.852416	5521.95640800001	2937.02112	962.917308000002	465.067979999997	2169.4635	506.601216
42662.1111111111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1145833333	2717.41824	2975.848416	3335.619744	0	151.786439999999	5281.82369999999	4942.852416	5521.95640800001	2937.02112	962.917308000002	465.067979999997	2169.4635	506.601216
42662.1180555556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1215277778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.125	2512.214784	2905.69842	3237.355296	0	153.75096	4894.94016	4736.013408	5456.49696	2623.19148	911.10528	465.067979999997	1933.473024	487.113912
42662.1284722222	4169.56896	4301.424	5296.288896	0	191.80044	-2091.188232	-5036.34672	-4137.31864799999	3490.066008	-1771.697772	465.067979999997	1109.7	-664.259292000002
42662.1319444444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1354166667	4169.56896	4301.424	5296.288896	0	191.80044	-2091.188232	-5036.34672	-4137.31864799999	3490.066008	-1771.697772	465.067979999997	1109.7	-664.259292000002
42662.1388888889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1423611111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1458333333	6275.11536	6513.955524	7766.28550800001	0	750.727656	-1498.13085600001	-4929.428448	-3774.47364	5057.463096	-1833.3216	465.067979999997	1816.253712	-1180.69812
42662.1493055556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1527777778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.15625	5762.536992	5983.85718	6946.64748	0	310.641480000001	-2379.37392	-5916.57242400001	-4190.892804	4929.806448	-2134.591056	465.067979999997	1413.255168	177.009840000001
42662.1597222222	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1631944444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1666666667	5418.983592	5783.017032	6626.5128	0	407.075760000001	-2944.61892	-6686.49168	-4483.32192	4914.952668	-2398.04928	465.067979999997	1047.823452	3912.70824
42662.1701388889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1736111111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1770833333	5403.4695	5820.51258	6578.478936	0	404.58528	-2795.92344	-6818.812092	-3717.1548	4944.667356	-2332.152324	465.067979999997	1391.38884	3856.2048
42662.1805555556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1840277778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1875	5606.142192	6073.320708	6811.52284800001	0	372.459168	-622.962143999999	-4092.02539200001	-6906.779928	4936.268628	-1326.949128	465.067979999997	1913.56506	4307.853456
42662.1909722222	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1944444444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.1979166667	5099.485248	5598.810072	6045.792912	0	335.729772	-1354.59323999999	-4616.331156	-7024.09104000001	4745.51352	-1676.974104	465.067979999997	1523.523708	3834.15552
42662.2013888889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2048611111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2083333333	5110.569504	5821.898544	6020.629776	0	328.084991999999	-1750.62610799999	-5036.37631200001	-2519.99748	4892.49936	-1863.87048	465.067979999997	1553.046696	4143.4848
42662.2118055556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2152777778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.21875	4770.7704	5437.438524	5923.77429600001	0	329.02848	-2477.27808	-5918.23584	584.002224000001	4897.5192	-2255.32771199999	465.067979999997	1227.40218	2112.650316
42662.2222222222	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2256944444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2291666667	4775.528016	5518.592856	5781.9528	0	344.73438	-2967.60024	-6605.44794	-576.2259	4685.545764	-2577.667968	465.067979999997	1288.56096	-1332.48726
42662.2326388889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2361111111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2395833333	4429.00602	5582.607804	5796.6678	0	371.5659	-3060.44406	-6901.909776	-608.022719999998	5124.834144	-2593.754136	465.067979999997	1375.84008	-1585.11816
42662.2430555556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2465277778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.25	3451.014072	5271.230844	5519.844792	0	359.453376000001	-1579.340268	-5196.487608	1412.499384	5036.323716	-1789.80580800001	465.067979999997	1805.783112	-1154.1096
42662.2534722222	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2569444444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
42662.2604166667	2963.283696	5185.619892	5496.84014399999	0	319.948704	-1072.61279999999	-4452.71903999999	-4301.8074	4695.246	-1591.432704	465.067979999997	1782.559224	3766.816872
42662.2638888889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
