Date	OADryBulbTemperature(NOAA)	AHU13MixedAirTemp	
42481.3645833333	61.868	67.17	
42496.3333333333	61.925	66.11	
42484.1666666667	61.934	69.26	
42492.2083333333	61.934	71.38	
42492.875	61.934	68.74	
42496.1666666667	61.934	69.62	
42476.1875	62.06	69.43	
42476.1979166667	62.06	69.46	
42480.375	62.06	66.92	
42480.3854166667	62.06	66.71	
42480.3958333333	62.06	65.07	
42480.40625	62.06	64.57	
42481.375	62.06	67.32	
42481.3854166667	62.06	67.17	
42484.125	62.06	68.82	
42484.1354166667	62.06	68.94	
42484.1458333333	62.06	69.04	
42484.15625	62.06	69.15	
42497.1666666667	62.06	69.82	
42497.1770833333	62.06	69.9	
42497.1875	62.06	69.96	
42497.1979166667	62.06	70.03	
42497.2083333333	62.06	70.09	
42497.21875	62.06	70.14	
42497.2291666667	62.06	70.21	
42497.2395833333	62.06	70.25	
42476.1041666667	62.0975	69.03	
42483.3229166667	62.168	69.99	
42482.1979166667	62.18	69.52	
42492.8645833333	62.18	68.66	
42496.15625	62.18	69.59	
42497.15625	62.18	69.74	
42492.3958333333	62.201	67.51	
42476.2083333333	62.2257894736842	69.5	
42476.125	62.267	69.15	
42480.4166666667	62.291	65.12	
42484.1145833333	62.324	68.71	
42481.3958333333	62.3511764705882	66.04	
42482.1875	62.405	69.5	
42492.8541666667	62.405	68.57	
42496.1458333333	62.405	69.59	
42497.1458333333	62.405	69.64	
42476.15625	62.4061538461538	69.32	
42476.1770833333	62.4061538461538	69.39	
42484.3229166667	62.432	70.21	
42492.1979166667	62.444	71.4	
42481.3333333333	62.5	67.23	
42497.3125	62.522	70.5	
42476.21875	62.5810526315789	69.51	
42482.3333333333	62.627	67.79	
42494.375	62.627	66.59	
42482.1770833333	62.63	69.49	
42492.84375	62.63	68.48	
42496.1354166667	62.63	69.55	
42497.1354166667	62.63	69.54	
42487.1979166667	62.6439024390244	70.61	
42476.1145833333	62.66	69.1	
42476.2395833333	62.6635294117647	69.56	
42492.40625	62.696	67.79	
42481.40625	62.7482352941176	67.04	
42487.1875	62.7756097560976	70.59	
42480.4270833333	62.786	65.58	
42484.1041666667	62.819	68.59	
42482.1666666667	62.855	69.47	
42492.8333333333	62.855	68.36	
42496.125	62.855	69.52	
42497.125	62.855	69.43	
42487.1770833333	62.9073170731707	70.57	
42495.3125	62.915	67.62	
42476.1666666667	62.9253846153846	69.36	
42476.2291666667	62.9363157894737	69.54	
42487.1666666667	62.96	70.54	
42487.2083333333	62.96	70.65	
42487.21875	62.96	70.64	
42487.2291666667	62.96	70.65	
42487.2395833333	62.96	70.65	
42492.4166666667	62.96	67.85	
42492.4270833333	62.96	68.07	
42492.4375	62.96	68.17	
42492.4479166667	62.96	67.92	
42487.25	63.086	70.66	
42482.15625	63.104	69.45	
42497.1145833333	63.104	69.34	
42492.1875	63.164	71.41	
42476.25	63.1903225806452	69.57	
42492.8229166667	63.224	68.27	
42496.1145833333	63.224	69.5	
42480.4375	63.281	66.47	
42476.0104166667	63.314	68.64	
42484.09375	63.314	68.51	
42487.2604166667	63.356	66.47	
42482.1458333333	63.374	69.44	
42497.1041666667	63.374	69.22	
42481.4166666667	63.422	67.43	
42484.3333333333	63.422	70.22	
42492.4583333333	63.422	68.17	
42497.3229166667	63.512	70.53	
42487.2708333333	63.626	65.45	
42482.1354166667	63.644	69.42	
42497.09375	63.644	69.1	
42483.3333333333	63.674	69.99	
42476.2604166667	63.6838709677419	69.59	
42492.8125	63.719	68.17	
42496.1041666667	63.719	69.47	
42480.4479166667	63.776	66.34	
42484.0833333333	63.809	68.41	
42482.34375	63.842	67.83	
42494.3854166667	63.842	67.1	
42492.1770833333	63.884	71.42	
42487.28125	63.896	64.98	
42482.125	63.914	69.39	
42497.0833333333	63.914	68.97	
42496.34375	63.95	66.59	
42479.0729166667	64.04	69.57	
42479.0833333333	64.04	69.57	
42479.2916666667	64.04	65.74	
42479.3020833333	64.04	67.32	
42482.0520833333	64.04	69.06	
42482.0625	64.04	69.14	
42482.0729166667	64.04	69.19	
42482.0833333333	64.04	69.24	
42482.09375	64.04	69.29	
42482.1041666667	64.04	69.31	
42482.1145833333	64.04	69.36	
42487.2916666667	64.04	64.74	
42487.3020833333	64.04	67.51	
42487.3125	64.04	65.02	
42487.3229166667	64.04	67.49	
42480.3125	64.13	63.96	
42480.4583333333	64.145	62.75	
42484.0729166667	64.16	68.32	
42497.0729166667	64.16	68.87	
42476.2708333333	64.1774193548387	69.61	
42479.3125	64.2025806451613	63.93	
42492.8020833333	64.214	68.04	
42496.09375	64.214	69.43	
42488.1666666667	64.271	69.86	
42498.25	64.271	70.04	
42479.09375	64.2823076923077	69.57	
42482.9895833333	64.304	68.17	
42498.2395833333	64.304	69.94	
42480.46875	64.37	65.37	
42487.3333333333	64.376	68.48	
42479.3229166667	64.3767741935484	67.91	
42484.0625	64.385	68.26	
42497.0625	64.385	68.74	
42481.4270833333	64.412	67.2	
42484.34375	64.412	70.25	
42492.46875	64.412	68.74	
42479.28125	64.43375	65.97	
42481.3229166667	64.4925714285714	67.94	
42479.1041666667	64.5419230769231	69.59	
42492.1145833333	64.5421052631579	71.45	
42479.2395833333	64.5675862068966	69.55	
42480.4791666667	64.595	66.46	
42479.2708333333	64.6025	66.28	
42492.1666666667	64.604	71.42	
42484.0520833333	64.61	68.21	
42497.0520833333	64.61	68.61	
42479.0625	64.6111538461539	69.56	
42497.3333333333	64.628	70.56	
42479.15625	64.67	69.59	
42476.28125	64.6709677419355	69.61	
42492.7916666667	64.709	67.91	
42496.0833333333	64.709	69.39	
42488.15625	64.76	69.79	
42488.1770833333	64.766	69.9	
42498.2604166667	64.766	70.14	
42479.2604166667	64.77125	66.81	
42482.9791666667	64.799	68.07	
42498.2291666667	64.799	69.82	
42479.1145833333	64.8015384615385	69.59	
42480.4895833333	64.82	63.65	
42479.125	64.94	69.6	
42479.1666666667	64.94	69.58	
42479.25	64.94	69.54	
42479.3333333333	64.94	68.76	
42479.34375	64.94	69.11	
42479.3541666667	64.94	68.71	
42481.0833333333	64.94	69.49	
42481.09375	64.94	69.51	
42481.1041666667	64.94	69.52	
42481.1145833333	64.94	69.53	
42492.125	64.94	71.46	
42492.1354166667	64.94	71.45	
42492.1458333333	64.94	71.44	
42492.15625	64.94	71.44	
42495.3229166667	64.94	67.87	
42496.0520833333	64.94	69.22	
42496.0625	64.94	69.28	
42496.0729166667	64.94	69.34	
42505.2083333333	64.94	71.49	
42505.21875	64.94	71.49	
42505.2291666667	64.94	71.47	
42505.2395833333	64.94	71.47	
42505.25	64.94	71.46	
42505.2604166667	64.94	71.45	
42505.2708333333	64.94	71.45	
42505.28125	64.94	71.45	
42505.2916666667	64.94	71.44	
42505.3020833333	64.94	71.44	
42479.2291666667	64.9865517241379	69.56	
42492.1041666667	65.0205263157895	71.49	
42488.1458333333	65.021	69.73	
42482.3541666667	65.057	68.27	
42494.3958333333	65.057	67.72	
42480.5	65.066	59.52	
42481.125	65.066	69.53	
42481.0729166667	65.084	69.46	
42481.2395833333	65.084	69.56	
42492.78125	65.084	67.71	
42487.34375	65.096	69.36	
42481.25	65.1443243243243	69.56	
42476.2916666667	65.1645161290323	69.61	
42487.15625	65.165	70.57	
42481.5	65.171	63.16	
42492.625	65.171	64.96	
42479.0520833333	65.1823076923077	69.56	
42483.34375	65.204	69.99	
42492.6145833333	65.204	67.58	
42479.1770833333	65.2456603773585	69.59	
42481.4895833333	65.2485714285714	67.57	
42488.1875	65.261	69.95	
42498.2708333333	65.261	70.22	
42482.96875	65.294	67.97	
42498.21875	65.294	69.72	
42479.1458333333	65.3	69.59	
42505.1979166667	65.3327272727273	71.5	
42480.5104166667	65.336	64.62	
42481.1354166667	65.336	69.54	
42481.3125	65.3411428571429	64.48	
42481.0625	65.354	69.46	
42481.2291666667	65.354	69.56	
42492.7708333333	65.354	67.41	
42481.4375	65.402	68.16	
42484.3541666667	65.402	70.28	
42492.4791666667	65.402	69.44	
42479.21875	65.4055172413793	69.56	
42488.1354166667	65.426	69.67	
42479.1875	65.551320754717	69.58	
42481.2604166667	65.5821621621622	66.57	
42480.5208333333	65.606	66.77	
42481.1458333333	65.606	69.55	
42481.0520833333	65.624	69.44	
42481.21875	65.624	69.56	
42492.7604166667	65.624	66.81	
42476.3020833333	65.658064516129	69.63	
42481.5104166667	65.666	60.54	
42492.6354166667	65.666	64.21	
42492.6041666667	65.699	69.88	
42488.1979166667	65.756	69.99	
42498.28125	65.756	70.31	
42482.9583333333	65.789	67.88	
42498.2083333333	65.789	69.61	
42487.3541666667	65.816	69.73	
42479.2083333333	65.8244827586207	69.57	
42481.4791666667	65.8271428571429	68.81	
42488.125	65.831	69.59	
42479.3645833333	65.8563636363636	69.03	
42479.1979166667	65.8569811320755	69.58	
42480.53125	65.876	65.24	
42481.15625	65.876	69.55	
42497.34375	65.888	70.57	
42505.3125	65.8929411764706	71.43	
42481.2083333333	65.894	69.56	
42492.75	65.894	65.06	
42479.1354166667	65.9	69.6	
42496.3541666667	65.975	67.44	
42478.3333333333	66.02	67.84	
42478.34375	66.02	67.95	
42478.3541666667	66.02	68.01	
42478.3645833333	66.02	68.03	
42478.375	66.02	67.94	
42478.3854166667	66.02	68.3	
42478.3958333333	66.02	68.13	
42478.4166666667	66.02	68.48	
42478.4270833333	66.02	68.34	
42478.4375	66.02	68.04	
42478.4479166667	66.02	68.12	
42479.375	66.02	68.82	
42481.2708333333	66.02	66.46	
42481.3020833333	66.02	67.05	
42488.2083333333	66.02	70.03	
42498.125	66.02	68.81	
42498.1354166667	66.02	68.87	
42498.1458333333	66.02	68.94	
42498.15625	66.02	69.03	
42498.1666666667	66.02	69.15	
42498.1770833333	66.02	69.27	
42498.1875	66.02	69.37	
42498.1979166667	66.02	69.5	
42501.125	66.02	70.83	
42501.1354166667	66.02	70.84	
42501.1458333333	66.02	70.85	
42501.15625	66.02	70.84	
42501.2291666667	66.02	70.82	
42501.2395833333	66.02	70.81	
42505.1666666667	66.02	71.5	
42505.1770833333	66.02	71.49	
42505.1875	66.02	71.49	
42505.3229166667	66.02	71.42	
42505.3333333333	66.02	71.4	
42505.34375	66.02	71.39	
42505.3541666667	66.02	71.39	
42492.5104166667	66.0430769230769	64.85	
42478.09375	66.0892307692308	70.04	
42478.1041666667	66.092	69.99	
42498.2916666667	66.125	70.41	
42501.1666666667	66.125	70.84	
42501.25	66.125	70.8	
42501.21875	66.128	70.82	
42488.1145833333	66.14	69.51	
42492.7395833333	66.14	65.83	
42498.1145833333	66.14	68.8	
42501.1145833333	66.14	70.84	
42476.3125	66.1533333333333	69.62	
42481.5208333333	66.161	58.41	
42492.6458333333	66.161	65.86	
42478.1145833333	66.1691428571429	70.02	
42478.40625	66.1723076923077	68.48	
42492.59375	66.194	68.53	
42481.1979166667	66.2046153846154	69.56	
42492.09375	66.2284210526316	71.49	
42482.3645833333	66.272	68.57	
42494.40625	66.272	68.23	
42492.6979166667	66.2744827586207	69.68	
42480.9895833333	66.284	69.23	
42481.9895833333	66.284	68.54	
42481.46875	66.30125	68.91	
42481.1666666667	66.32	69.56	
42498.3020833333	66.35	70.49	
42501.1770833333	66.35	70.82	
42501.2604166667	66.35	67.13	
42488.1041666667	66.365	69.42	
42492.7291666667	66.365	69.29	
42498.1041666667	66.365	68.83	
42501.1041666667	66.365	70.82	
42485.15625	66.3862068965517	71.17	
42492.5208333333	66.3892307692308	67.61	
42481.4479166667	66.392	68.58	
42484.3645833333	66.392	70.31	
42492.4895833333	66.392	68.32	
42478.3229166667	66.4273684210526	67.27	
42482.9479166667	66.428	67.82	
42484.9895833333	66.44	71.15	
42492.6875	66.4606896551724	69.49	
42478.4583333333	66.47	68.76	
42478.0729166667	66.4769230769231	70.04	
42480.5416666667	66.482	61.69	
42487.3645833333	66.536	70.36	
