Date	OADryBulbTemperatureNOAA	ZoneLoadforContainerFPVAV214	
42463.25	42.98	4590	
42463.2604166667	42.98	4131	
42463.2708333333	42.98	3901.5	
42463.28125	42.98	4360.5	
42463.2916666667	43.211	3901.5	
42463.2395833333	43.244	4590	
42463.3020833333	43.706	4131	
42463.2291666667	43.739	4131	
42463.3125	44.201	-459	
42463.21875	44.234	4819.5	
42463.3229166667	44.696	-1377	
42463.2083333333	44.729	4590	
42462.2916666667	45.086	3672	
42462.28125	45.104	2065.5	
42463.1979166667	45.104	3672	
42462.3020833333	45.356	4590	
42462.2708333333	45.374	0	
42463.1875	45.374	3672	
42462.3125	45.626	4131	
42462.2604166667	45.644	-918	
42463.1770833333	45.644	459	
42462.3229166667	45.896	4131	
42462.25	45.914	-229.5	
42463.1666666667	45.914	-229.5	
42462.0833333333	46.04	4131	
42462.09375	46.04	3672	
42462.1041666667	46.04	3901.5	
42462.1145833333	46.04	4131	
42462.2083333333	46.04	-688.5	
42462.21875	46.04	-918	
42462.2291666667	46.04	0	
42462.2395833333	46.04	-459	
42463.3333333333	46.136	-1377	
42462.125	46.145	4131	
42462.0729166667	46.16	3213	
42462.1979166667	46.16	4131	
42463.15625	46.16	-229.5	
42462.1354166667	46.37	3901.5	
42462.0625	46.385	3213	
42462.1875	46.385	3672	
42463.1458333333	46.385	0	
42462.3333333333	46.502	4590	
42462.1458333333	46.595	3901.5	
42462.0520833333	46.61	3213	
42462.1770833333	46.61	3672	
42462.15625	46.82	4131	
42462.0416666667	46.835	3442.5	
42462.1666666667	46.835	3901.5	
42463.125	46.835	0	
42462	46.94	4131	
42462.0104166667	46.94	-4590	
42462.0208333333	46.94	-5737.5	
42462.03125	46.94	3672	
42461.9895833333	47.204	4131	
42463.1145833333	47.204	-229.5	
42462.34375	47.492	4590	
42461.9791666667	47.699	4131	
42463.1041666667	47.699	2983.5	
42467.2083333333	48.125	5508	
42467.2916666667	48.125	6196.5	
42467.28125	48.14	5737.5	
42461.96875	48.194	3672	
42463.09375	48.194	3442.5	
42467.1979166667	48.284	5278.5	
42467.21875	48.35	5508	
42467.3020833333	48.35	5737.5	
42467.2708333333	48.365	5737.5	
42462.3541666667	48.482	4131	
42467.2291666667	48.575	5508	
42467.3125	48.575	5737.5	
42467.2604166667	48.59	4590	
42463.34375	48.656	-1147.5	
42461.9583333333	48.689	4131	
42463.0833333333	48.689	3901.5	
42467.1875	48.779	5278.5	
42467.2395833333	48.8	5508	
42467.3229166667	48.8	5737.5	
42467.25	48.815	5508	
42461.9166666667	48.92	4360.5	
42461.9270833333	48.92	3442.5	
42461.9375	48.92	4131	
42461.9479166667	48.92	4131	
42463.0416666667	48.92	3901.5	
42463.0520833333	48.92	2983.5	
42463.0625	48.92	3901.5	
42463.0729166667	48.92	3901.5	
42461.90625	49.208	4590	
42467.1770833333	49.274	4590	
42462.3645833333	49.472	4131	
42463.03125	49.592	4131	
42461.8958333333	49.748	4131	
42467.1666666667	49.769	5049	
42467.3333333333	50.096	5737.5	
42464.28125	50.144	4590	
42464.2916666667	50.231	5049	
42467.15625	50.264	5049	
42461.8854166667	50.288	3442.5	
42464.2708333333	50.414	4590	
42462.375	50.588	3901.5	
42464.2604166667	50.684	4131	
42464.3020833333	50.726	5278.5	
42467.1458333333	50.759	5049	
42461.875	50.828	3672	
42463.0208333333	50.852	3901.5	
42464.25	50.954	5049	
42463.3541666667	51.176	-1377	
42467.0833333333	51.185	4590	
42464.2395833333	51.2	4360.5	
