Date	OADryBulbTemperature(NOAA)	ZoneLoadforContainerFPVAV214	
42463.25	42.98	1317.6	
42463.2604166667	42.98	1283.04	
42463.2708333333	42.98	1211.76	
42463.28125	42.98	1354.32	
42463.2916666667	43.211	1211.76	
42463.2395833333	43.244	1425.6	
42463.3020833333	43.706	1205.28	
42463.2291666667	43.739	1302.48	
42463.3125	44.201	-144.72	
42463.21875	44.234	1519.56	
42463.3229166667	44.696	-401.76	
42463.2083333333	44.729	1296	
42462.2916666667	45.086	1192.32	
42462.28125	45.104	622.08	
42463.1979166667	45.104	1105.92	
42462.3020833333	45.356	1360.8	
42462.2708333333	45.374	0	
42463.1875	45.374	1140.48	
42462.3125	45.626	1244.16	
42462.2604166667	45.644	-272.16	
42463.1770833333	45.644	142.56	
42462.3229166667	45.896	1263.6	
42462.25	45.914	-68.04	
42463.1666666667	45.914	-65.88	
42462.0833333333	46.04	1244.16	
42462.09375	46.04	1105.92	
42462.1041666667	46.04	1175.04	
42462.1145833333	46.04	1244.16	
42462.2083333333	46.04	-220.32	
42462.21875	46.04	-272.16	
42462.2291666667	46.04	0	
42462.2395833333	46.04	-133.92	
42463.3333333333	46.136	-434.16	
42462.125	46.145	1224.72	
42462.0729166667	46.16	967.68	
42462.1979166667	46.16	1146.96	
42463.15625	46.16	-71.28	
42462.1354166667	46.37	1230.12	
42462.0625	46.385	967.68	
42462.1875	46.385	1036.8	
42463.1458333333	46.385	0	
42462.3333333333	46.502	1382.4	
42462.1458333333	46.595	1119.96	
42462.0520833333	46.61	967.68	
42462.1770833333	46.61	1123.2	
42462.15625	46.82	1283.04	
42462.0416666667	46.835	1036.8	
42462.1666666667	46.835	1211.76	
42463.125	46.835	0	
42462	46.94	1302.48	
42462.0104166667	46.94	-1339.2	
42462.0208333333	46.94	-1755	
42462.03125	46.94	1088.64	
42461.9895833333	47.204	1244.16	
42463.1145833333	47.204	-65.88	
42462.34375	47.492	1296	
42461.9791666667	47.699	1224.72	
42463.1041666667	47.699	856.44	
42467.2083333333	48.125	1607.04	
42467.2916666667	48.125	1924.56	
42467.28125	48.14	1647	
42461.96875	48.194	1105.92	
42463.09375	48.194	1085.4	
42467.1979166667	48.284	1639.44	
42467.21875	48.35	1632.96	
42467.3020833333	48.35	1755	
42467.2708333333	48.365	1647	
42462.3541666667	48.482	1283.04	
42467.2291666667	48.575	1736.64	
42467.3125	48.575	1755	
42467.2604166667	48.59	1317.6	
42463.34375	48.656	-356.4	
42461.9583333333	48.689	1224.72	
42463.0833333333	48.689	1156.68	
42467.1875	48.779	1664.28	
42467.2395833333	48.8	1736.64	
42467.3229166667	48.8	1728	
42467.25	48.815	1581.12	
42461.9166666667	48.92	1374.84	
42461.9270833333	48.92	1004.4	
42461.9375	48.92	1224.72	
42461.9479166667	48.92	1205.28	
42463.0416666667	48.92	1138.32	
42463.0520833333	48.92	884.52	
42463.0625	48.92	1156.68	
42463.0729166667	48.92	1138.32	
42461.90625	49.208	1425.6	
