Date	AHU21MixedAirTemp	MixedAirTempPredictionforContainerAHU21	
42463.25	nan	nan	
42463.2604166667	nan	nan	
42463.2708333333	nan	nan	
42463.28125	nan	nan	
42463.2916666667	nan	nan	
42463.3020833333	nan	nan	
42463.3125	nan	nan	
42463.3229166667	nan	nan	
42463.3333333333	nan	nan	
42463.34375	nan	nan	
42463.3541666667	nan	nan	
42463.3645833333	nan	nan	
42463.375	nan	nan	
42463.3854166667	nan	nan	
42463.3958333333	nan	nan	
42463.40625	nan	nan	
42463.4166666667	nan	nan	
42463.4270833333	nan	nan	
42463.4375	nan	nan	
42463.4479166667	nan	nan	
42463.4583333333	nan	nan	
42463.46875	nan	nan	
42463.4791666667	nan	nan	
42463.4895833333	nan	nan	
42463.5	nan	nan	
42463.5104166667	nan	nan	
42463.5208333333	nan	nan	
42463.53125	nan	nan	
42463.5416666667	nan	nan	
42463.5520833333	nan	nan	
42463.5625	nan	nan	
42463.5729166667	nan	nan	
42463.5833333333	nan	nan	
42463.59375	nan	nan	
42463.6041666667	nan	nan	
42463.6145833333	nan	nan	
42463.625	nan	nan	
42463.6354166667	nan	nan	
42463.6458333333	nan	nan	
42463.65625	nan	nan	
42463.6666666667	nan	nan	
42463.6770833333	nan	nan	
42463.6875	nan	nan	
42463.6979166667	nan	nan	
42463.7083333333	nan	nan	
42463.71875	nan	nan	
42463.7291666667	nan	nan	
42463.7395833333	nan	nan	
42463.75	nan	nan	
42463.7604166667	nan	nan	
42463.7708333333	nan	nan	
42463.78125	nan	nan	
42463.7916666667	nan	nan	
42463.8020833333	nan	nan	
42463.8125	nan	nan	
42463.8229166667	nan	nan	
42463.8333333333	nan	nan	
42463.84375	nan	nan	
42463.8541666667	nan	nan	
42463.8645833333	nan	nan	
42463.875	nan	nan	
42463.8854166667	nan	nan	
42463.8958333333	nan	nan	
42463.90625	nan	nan	
42463.9166666667	nan	nan	
42463.9270833333	nan	nan	
42463.9375	nan	nan	
42463.9479166667	nan	nan	
42463.9583333333	nan	nan	
42463.96875	nan	nan	
42463.9791666667	nan	nan	
42463.9895833333	nan	nan	
42464	nan	nan	
42464.0104166667	nan	nan	
42464.0208333333	nan	nan	
42464.03125	nan	nan	
42464.0416666667	nan	nan	
42464.0520833333	nan	nan	
42464.0625	nan	nan	
42464.0729166667	nan	nan	
42464.0833333333	nan	nan	
42464.09375	nan	nan	
42464.1041666667	nan	nan	
42464.1145833333	nan	nan	
42464.125	nan	nan	
42464.1354166667	nan	nan	
42464.1458333333	nan	nan	
42464.15625	nan	nan	
42464.1666666667	nan	nan	
42464.1770833333	nan	nan	
42464.1875	nan	nan	
42464.1979166667	nan	nan	
42464.2083333333	nan	nan	
42464.21875	nan	nan	
42464.2291666667	nan	nan	
42464.2395833333	nan	nan	
42464.25	nan	nan	
42464.2604166667	nan	nan	
42464.2708333333	nan	nan	
42464.28125	nan	nan	
42464.2916666667	nan	nan	
42464.3020833333	nan	nan	
42464.3125	nan	nan	
42464.3229166667	nan	nan	
42464.3333333333	69.22	69.36	
42464.34375	69.42	69.47	
42464.3541666667	69.62	69.64	
42464.3645833333	69.9	69.7399978637695	
42464.375	70.09	69.95	
42464.3854166667	70.17	70.125	
42464.3958333333	70.69	70.385	
42464.40625	70.87	70.7	
42464.4166666667	70.67	70.84	
42464.4270833333	70.57	70.95	
42464.4375	70.53	70.97	
42464.4479166667	70.69	70.94	
42464.4583333333	70.63	70.905	
42464.46875	70.61	70.875	
42464.4791666667	70.61	70.81	
42464.4895833333	70.67	70.7049995422364	
42464.5	70.59	70.7300006103515	
42464.5104166667	70.47	70.7300006103515	
42464.5208333333	70.52	70.7549983215332	
42464.53125	70.64	70.7899971008301	
42464.5416666667	70.78	70.7899987792969	
42464.5520833333	70.74	70.8249987792969	
42464.5625	70.92	70.8300018310547	
42464.5729166667	70.96	70.85	
42464.5833333333	71.03	70.8950004577636	
42464.59375	71.03	70.975	
42464.6041666667	71.06	70.99	
42464.6145833333	71.04	70.99	
42464.625	71.06	70.99	
42464.6354166667	71.15	70.97	
42464.6458333333	71.15	70.97	
42464.65625	71.2	70.97	
42464.6666666667	71.26	70.99	
42464.6770833333	71.27	71.05	
42464.6875	71.29	71.3149987792969	
42464.6979166667	71.26	71.3499984741211	
42464.7083333333	71.23	71.3499984741211	
42464.71875	71.18	71.2900009155273	
42464.7291666667	71.19	71.2799987792969	
42464.7395833333	71.18	71.2599983215332	
42464.75	nan	nan	
42464.7604166667	nan	nan	
42464.7708333333	nan	nan	
42464.78125	nan	nan	
42464.7916666667	nan	nan	
42464.8020833333	nan	nan	
42464.8125	nan	nan	
42464.8229166667	nan	nan	
42464.8333333333	nan	nan	
42464.84375	nan	nan	
42464.8541666667	nan	nan	
42464.8645833333	nan	nan	
42464.875	nan	nan	
42464.8854166667	nan	nan	
42464.8958333333	nan	nan	
42464.90625	nan	nan	
