Date	AHU21MixedAirTemp	AHU21SupplyAirTemp	OptimalSupplyAirTempEx2	OptimalSupplyAirTempEx3	OptimalSupplyAirTempEx3RoomTemps	OptimalSupplyAirTempEx2RoomTemps	MinimumDischargeTempforAHU21	
42681.8541666667	nan	nan	63.625	63.625	nan	nan	66.5
42681.8645833333	nan	nan	63.625	63.625	nan	nan	66.625
42681.875	nan	nan	61.75	61.875	nan	nan	66.375
42681.8854166667	nan	nan	62.375	62.5	nan	nan	66.5
42681.8958333333	nan	nan	62.375	62.5	nan	nan	66.5
42681.90625	nan	nan	62.375	63	nan	nan	66.625
42681.9166666667	nan	nan	62.375	62.875	nan	nan	66.5
42681.9270833333	nan	nan	62.375	62.75	nan	nan	66.5
42681.9375	nan	nan	63	63.125	nan	nan	66.5
42681.9479166667	nan	nan	62.375	63.25	nan	nan	66.875
42681.9583333333	nan	nan	61.25	64.625	nan	nan	67.625
42681.96875	nan	nan	62	64.875	nan	nan	67.875
42681.9791666667	nan	nan	62.125	65	nan	nan	67.75
42681.9895833333	nan	nan	62.5	64.75	nan	nan	67.5
42682	69.84	59.11	62.5	65.125	66.375	65.125	67.75
42682.0104166667	69.83	59.25	62.5	65.125	66.5	65.5	67.75
42682.0208333333	69.81	59.22	62.625	65.25	66.5	65.375	67.875
42682.03125	69.75	59.19	63.25	65.625	66.75	65.75	68.125
42682.0416666667	69.81	59.11	62.5	65.25	66.375	65.25	68
42682.0520833333	69.81	59.17	61.875	64.875	66.125	64.625	67.75
42682.0625	69.73	58.97	62.125	64.875	66.125	64.875	67.75
42682.0729166667	69.66	58.54	61.875	64.75	65.875	64.625	67.625
42682.0833333333	69.75	58.36	62.5	65.125	66.125	64.875	67.875
42682.09375	69.62	58.49	62.125	64.875	65.875	64.5	67.5
42682.1041666667	69.66	59.12	62.125	64.875	66.125	64.875	67.5
42682.1145833333	69.62	59.57	62.125	64.75	65.875	64.625	67.5
42682.125	69.6	59.21	63.5	65.75	66.375	65	68.25
42682.1354166667	nan	58.74	63.375	65.625	66.375	65	68.25
42682.1458333333	69.52	58.74	63.375	65.875	66.5	64.875	68.5
42682.15625	69.54	58.49	63.125	65.625	66.375	64.5	68.5
42682.1666666667	69.48	59.02	62.75	65.5	66.25	64.25	68.375
42682.1770833333	69.49	59.61	63.125	65.625	66.375	64.5	68.5
42682.1875	69.62	59.66	63.125	65.625	66.375	64.5	68.5
