Date	TboxPLRforFPVAV27	TboxDischargeMixedAirTempfromRoomTempforFPVAV27	
42615	nan	nan	
42615.0104166667	nan	nan	
42615.0208333333	nan	nan	
42615.03125	nan	nan	
42615.0416666667	nan	nan	
42615.0520833333	nan	nan	
42615.0625	nan	nan	
42615.0729166667	nan	nan	
42615.0833333333	nan	nan	
42615.09375	nan	nan	
42615.1041666667	nan	nan	
42615.1145833333	nan	nan	
42615.125	nan	nan	
42615.1354166667	nan	nan	
42615.1458333333	nan	nan	
42615.15625	nan	nan	
42615.1666666667	nan	nan	
42615.1770833333	nan	nan	
42615.1875	nan	nan	
42615.1979166667	nan	nan	
42615.2083333333	nan	nan	
42615.21875	nan	nan	
42615.2291666667	nan	nan	
42615.2395833333	nan	nan	
42615.25	nan	nan	
42615.2604166667	nan	nan	
42615.2708333333	nan	nan	
42615.28125	nan	nan	
42615.2916666667	nan	nan	
42615.3020833333	nan	nan	
42615.3125	nan	nan	
42615.3229166667	nan	nan	
42615.3333333333	nan	nan	
42615.34375	nan	nan	
42615.3541666667	nan	nan	
42615.3645833333	nan	nan	
42615.375	72	3.918	
42615.3854166667	76	4.1844	
42615.3958333333	86	4.10279999999999	
42615.40625	98	7.5898	
42615.4166666667	100	7.18	
42615.4270833333	94	5.61060000000001	
42615.4375	92	5.9376	
42615.4479166667	94	5.6368	
42615.4583333333	88	5.2016	
42615.46875	86	5.6454	
42615.4791666667	88	5.3412	
42615.4895833333	90	6.047	
42615.5	86	5.6614	
42615.5104166667	84	4.9904	
42615.5208333333	74	3.9634	
42615.53125	72	4.46559999999999	
42615.5416666667	76	4.6796	
42615.5520833333	76	5.3232	
42615.5625	80	5.892	
42615.5729166667	80	5.282	
42615.5833333333	74	4.6722	
42615.59375	80	5.316	
42615.6041666667	76	4.8468	
42615.6145833333	82	6.1418	
42615.625	86	6.8168	
42615.6354166667	88	6.79280000000001	
42615.6458333333	92	6.3992	
42615.65625	90	6.21899999999999	
42615.6666666667	94	6.4618	
42615.6770833333	96	6.93680000000001	
42615.6875	92	6.0052	
42615.6979166667	82	4.57680000000001	
42615.7083333333	nan	nan	
42615.71875	nan	nan	
42615.7291666667	nan	nan	
42615.7395833333	nan	nan	
42615.75	nan	nan	
42615.7604166667	nan	nan	
42615.7708333333	nan	nan	
42615.78125	nan	nan	
42615.7916666667	nan	nan	
42615.8020833333	nan	nan	
42615.8125	nan	nan	
42615.8229166667	nan	nan	
42615.8333333333	nan	nan	
42615.84375	nan	nan	
42615.8541666667	nan	nan	
42615.8645833333	nan	nan	
42615.875	nan	nan	
42615.8854166667	nan	nan	
42615.8958333333	nan	nan	
42615.90625	nan	nan	
42615.9166666667	nan	nan	
42615.9270833333	nan	nan	
42615.9375	nan	nan	
42615.9479166667	nan	nan	
