Date	ZoneLoadforContainerFPVAV22	ZoneLoadResidualforContainerFPVAV22	
42430	nan	nan	
42430.0104166667	nan	nan	
42430.0208333333	nan	nan	
42430.03125	nan	nan	
42430.0416666667	nan	nan	
42430.0520833333	nan	nan	
42430.0625	nan	nan	
42430.0729166667	nan	nan	
42430.0833333333	nan	nan	
42430.09375	nan	nan	
42430.1041666667	nan	nan	
42430.1145833333	nan	nan	
42430.125	nan	nan	
42430.1354166667	nan	nan	
42430.1458333333	nan	nan	
42430.15625	nan	nan	
42430.1666666667	nan	nan	
42430.1770833333	nan	nan	
42430.1875	nan	nan	
42430.1979166667	nan	nan	
42430.2083333333	nan	nan	
42430.21875	nan	nan	
42430.2291666667	nan	nan	
42430.2395833333	nan	nan	
42430.25	nan	nan	
42430.2604166667	nan	nan	
42430.2708333333	nan	nan	
42430.28125	nan	nan	
42430.2916666667	nan	nan	
42430.3020833333	nan	nan	
42430.3125	nan	nan	
42430.3229166667	nan	nan	
42430.3333333333	nan	nan	
42430.34375	nan	nan	
42430.3541666667	nan	nan	
42430.3645833333	nan	nan	
42430.375	23760	20493	
42430.3854166667	26730	21681	
42430.3958333333	38610	14256	
42430.40625	43956	8019	
42430.4166666667	43362	5940	
42430.4270833333	42174	10989	
42430.4375	45144	8019	
42430.4479166667	47520	3564	
42430.4583333333	48114	3267	
42430.46875	43956	7128	
42430.4791666667	43956	7128	
42430.4895833333	43956	5643	
42430.5	39798	10098	
42430.5104166667	38610	13662	
42430.5208333333	47520	5049	
42430.53125	49302	2376	
42430.5416666667	53460	1188	
42430.5520833333	55836	-1485	
42430.5625	52866	1188	
42430.5729166667	49896	5049	
42430.5833333333	51678	3267	
42430.59375	50490	5346	
42430.6041666667	49896	6534	
42430.6145833333	51084	5346	
42430.625	52272	4158	
42430.6354166667	52272	2970	
42430.6458333333	52866	2376	
42430.65625	54648	0	
42430.6666666667	54648	1188	
42430.6770833333	54648	1188	
42430.6875	55242	594	
42430.6979166667	54054	594	
42430.7083333333	nan	nan	
42430.71875	nan	nan	
42430.7291666667	nan	nan	
42430.7395833333	nan	nan	
