Date	ZoneLoadforFPB02	
42653	1541.303424
42653.0034722222	2499.506316
42653.0069444444	2499.506316
42653.0104166667	2499.506316
42653.0138888889	1577.804184
42653.0173611111	1577.804184
42653.0208333333	1577.804184
42653.0243055556	2001.645216
42653.0277777778	2001.645216
42653.03125	2001.645216
42653.0347222222	2740.02426
42653.0381944444	2740.02426
42653.0416666667	2740.02426
42653.0451388889	1372.452768
42653.0486111111	1372.452768
42653.0520833333	1372.452768
42653.0555555556	1851.874272
42653.0590277778	1851.874272
42653.0625	1851.874272
42653.0659722222	2839.313412
42653.0694444444	2839.313412
42653.0729166667	2839.313412
42653.0763888889	1427.489568
42653.0798611111	1427.489568
42653.0833333333	1427.489568
42653.0868055556	1446.1146
42653.0902777778	1446.1146
42653.09375	1446.1146
42653.1006944444	2657.320344
42653.1041666667	2657.320344
42653.1076388889	2858.42844
42653.1111111111	2858.42844
42653.1145833333	2858.42844
42653.1180555556	1459.024812
42653.1215277778	1459.024812
42653.125	1459.024812
42653.1284722222	2205.84546
42653.1319444444	2205.84546
42653.1354166667	2205.84546
42653.1388888889	1977.55452
42653.1423611111	1977.55452
42653.1458333333	1977.55452
42653.1527777778	1166.372352
42653.15625	1166.372352
42653.1597222222	1755.19872
42653.1666666667	1755.19872
42653.1736111111	2297.300508
42653.1770833333	2297.300508
42653.1805555556	2535.28704
42653.1875	2535.28704
42653.1944444444	1415.09376
42653.1979166667	1415.09376
42653.2048611111	2603.19312000001
42653.2083333333	2603.19312000001
42653.2118055556	1841.8752
42653.2152777778	1841.8752
42653.21875	1841.8752
42653.2256944444	1097.67528
42653.2291666667	1097.67528
42653.2326388889	2348.15652000001
42653.2395833333	2348.15652000001
42653.25	2277.459504
42653.2569444444	3427.1802
42653.2604166667	3427.1802
42653.2673611111	3036.655872
42653.2708333333	3036.655872
42653.2743055556	2438.9694
42653.28125	2438.9694
42653.2881944444	1047.15504
42653.2916666667	1047.15504
42653.2951388889	2010.999636
42653.3020833333	2010.999636
42653.3125	2241.142776
42653.3159722222	1377.98388
42653.3229166667	1377.98388
42653.3263888889	1307.126592
42653.3333333333	1307.126592
42653.3402777778	2309.526324
42653.34375	2309.526324
42653.3472222222	1971.24192
42653.3541666667	1971.24192
42653.3611111111	994.569839999999
42653.3645833333	994.569839999999
42653.3680555556	1738.38798
42653.375	1738.38798
42653.3854166667	2649.944268
42653.3888888889	1469.9151
42653.3923611111	1469.9151
42653.3958333333	1469.9151
42653.3993055556	2362.43196
42653.40625	2362.43196
42653.4166666667	2836.56492
42653.4236111111	3882.609072
42653.4270833333	3882.609072
42653.4305555556	2356.621776
42653.4375	2356.621776
42653.4444444444	2770.383384
42653.4479166667	2770.383384
42653.4548611111	3668.81724
42653.4583333333	3668.81724
42653.4618055556	2571.649776
42653.46875	2571.649776
42653.4791666667	2735.097192
42653.4861111111	2932.79346
42653.4895833333	2932.79346
42653.4965277778	3084.58314
42653.5	3084.58314
42653.5034722222	2966.27292
42653.5104166667	2966.27292
42653.5138888889	2038.231296
42653.5173611111	2038.231296
42653.5208333333	2038.231296
42653.53125	3077.67924000001
42653.5347222222	4012.724448
42653.5416666667	4012.724448
42653.5486111111	3019.753872
42653.5520833333	3019.753872
42653.5625	2812.75902
42653.5694444444	1864.091124
42653.5729166667	1864.091124
42653.5763888889	3494.161152
42653.5798611111	3494.161152
42653.5833333333	3494.161152
42653.5868055556	3082.92220800001
42653.59375	3082.92220800001
42653.5972222222	2747.628
42653.6041666667	2747.628
42653.6145833333	2878.54538400001
42653.6215277778	1941.938064
42653.625	1941.938064
42653.6319444444	3337.56612
42653.6354166667	3337.56612
42653.6388888889	2909.709
42653.6423611111	2909.709
42653.6458333333	2909.709
42653.6493055556	2977.121952
42653.65625	2977.121952
42653.6666666667	2981.583
42653.6736111111	1962.881424
42653.6770833333	1962.881424
42653.6840277778	3033.97542
42653.6875	3033.97542
42653.6979166667	3027.51648
42653.7013888889	1889.501688
42653.7048611111	1889.501688
42653.7083333333	1889.501688
42653.7152777778	3042.294336
42653.71875	3042.294336
42653.7291666667	2887.45344
42653.7361111111	1912.553424
42653.7395833333	1912.553424
42653.7465277778	3080.320488
42653.75	3080.320488
42653.7604166667	2888.988984
42653.7673611111	1853.607672
42653.7708333333	1853.607672
42653.7743055556	2745.876672
42653.7777777778	2745.876672
42653.78125	2745.876672
42653.7916666667	2706.204384
42653.7951388889	1711.92042
42653.8020833333	1711.92042
42653.8055555556	2113.047216
42653.8125	2113.047216
42653.8229166667	2551.173408
42653.8298611111	3762.90792
42653.8333333333	3762.90792
42653.8368055556	2184.331968
42653.8402777778	2184.331968
42653.84375	2184.331968
42653.8541666667	2462.365656
42653.8576388889	3047.16384
42653.8611111111	3047.16384
42653.8645833333	3047.16384
42653.8680555556	2388.26016
42653.8715277778	2388.26016
42653.875	2388.26016
42653.8854166667	2310.457716
42653.8923611111	1820.81952
42653.8958333333	1820.81952
42653.8993055556	2165.717736
42653.90625	2165.717736
