0.01,0.049999
0.02,0.049998
0.03,0.049995
0.04,0.049991
0.05,0.049989
0.06,0.049988
0.07,0.04999
0.08,0.049997
0.09,0.050011
0.1,0.050033
0.11,0.050066
0.12,0.050111
0.13,0.05017
0.14,0.050245
0.15,0.050338
0.16,0.050452
0.17,0.050586
0.18,0.050744
0.19,0.050927
0.2,0.051136
0.21,0.051372
0.22,0.051636
0.23,0.05193
0.24,0.052252
0.25,0.052605
0.26,0.052989
0.27,0.053402
0.28,0.053845
0.29,0.054318
0.3,0.05482
0.31,0.055349
0.32,0.055906
0.33,0.056489
0.34,0.057096
0.35,0.057727
0.36,0.05838
0.37,0.059052
0.38,0.059743
0.39,0.060451
0.4,0.061173
0.41,0.061908
0.42,0.062654
0.43,0.06341
0.44,0.064172
0.45,0.064939
0.46,0.06571
0.47,0.066482
0.48,0.067254
0.49,0.068023
0.5,0.068788
0.51,0.069547
0.52,0.070298
0.53,0.071041
0.54,0.071772
0.55,0.072491
0.56,0.073196
0.57,0.073887
0.58,0.074561
0.59,0.075217
0.6,0.075855
0.61,0.076474
0.62,0.077072
0.63,0.07765
0.64,0.078206
0.65,0.07874
0.66,0.079252
0.67,0.079741
0.68,0.080208
0.69,0.080652
0.7,0.081075
0.71,0.081476
0.72,0.081857
0.73,0.082218
0.74,0.08256
0.75,0.082886
0.76,0.083196
0.77,0.083493
0.78,0.083778
0.79,0.084055
0.8,0.084326
0.81,0.084594
0.82,0.084863
0.83,0.085137
0.84,0.08542
0.85,0.085716
0.86,0.086031
0.87,0.08637
0.88,0.086738
0.89,0.087143
0.9,0.087589
0.91,0.088085
0.92,0.088636
0.93,0.089252
0.94,0.089938
0.95,0.090704
0.96,0.091557
0.97,0.092505
0.98,0.093556
0.99,0.094718
1,0.096
