Date	OADryBulbTemperatureNOAA	AHU21MixedAirTemp	
42450.25	36.086	66.19	
42450.2604166667	36.356	66.39	
42450.2395833333	36.368	66.11	
42450.2708333333	36.626	66.36	
42450.28125	36.896	66.46	
42450.2291666667	37.133	66.17	
42450.2916666667	37.376	66.55	
42450.21875	37.898	66.19	
42450.3020833333	38.096	66.54	
42450.2083333333	38.663	66.14	
42450.3125	38.816	66.52	
42450.1979166667	39.284	66.19	
42450.3229166667	39.536	66.65	
42450.1875	39.779	66.24	
42449.2916666667	40.046	66.56	
42450.1770833333	40.274	66.24	
42450.3333333333	40.277	66.81	
42449.3020833333	40.316	66.55	
42449.28125	40.328	66.61	
42449.3125	40.586	66.56	
42450.1666666667	40.769	66.22	
42449.3229166667	40.856	66.44	
42450.34375	41.042	66.87	
42449.2708333333	41.093	66.7	
42450.15625	41.144	66.32	
42450.1458333333	41.414	66.39	
42449.3333333333	41.693	66.47	
42450.3541666667	41.807	67.02	
42449.2604166667	41.858	66.71	
42450.125	41.954	66.46	
42450.1145833333	42.2	66.5	
42450.1041666667	42.425	66.57	
42450.3645833333	42.572	67.38	
42449.25	42.623	66.75	
42450.09375	42.65	66.63	
42450.0833333333	42.875	66.62	
42463.25	42.98	67.29	
42463.2604166667	42.98	67.24	
42463.2708333333	42.98	67.22	
42463.28125	42.98	67.17	
42449.2395833333	43.124	66.79	
42450.0729166667	43.124	66.64	
42449.34375	43.178	66.49	
42463.2916666667	43.211	67.14	
42463.2395833333	43.244	67.34	
42449.2291666667	43.394	66.79	
42450.0625	43.394	66.63	
42449.21875	43.664	66.83	
42463.3020833333	43.706	67.04	
42463.2291666667	43.739	67.52	
42450.375	43.799	67.56	
42449.2083333333	43.934	66.88	
42449.9583333333	44.165	67.27	
42449.1979166667	44.18	66.97	
42463.3125	44.201	66.97	
42463.21875	44.234	67.52	
42449.96875	44.39	67.16	
42449.1875	44.405	66.96	
42449.9479166667	44.444	67.32	
42454.1979166667	44.444	67.39	
42449.9791666667	44.615	67.2	
42454.2083333333	44.627	67.34	
42449.1770833333	44.63	67.02	
42449.3541666667	44.663	66.49	
42463.3229166667	44.696	67	
42463.2083333333	44.729	67.67	
42449.9895833333	44.84	67.08	
42449.1666666667	44.855	67.04	
42449.125	44.96	67.19	
42449.1458333333	44.96	67.11	
42449.15625	44.96	67.13	
42462.2916666667	45.086	67.14	
42449.1145833333	45.104	67.32	
42462.28125	45.104	67.12	
42463.1979166667	45.104	67.71	
42449.9375	45.164	67.36	
42454.1875	45.164	67.34	
42462.3020833333	45.356	67.12	
42449.1041666667	45.374	67.32	
42462.2708333333	45.374	67.17	
42463.1875	45.374	67.74	
42450.3854166667	45.554	67.01	
42462.3125	45.626	67.02	
42449.09375	45.644	67.39	
