Date,OADryBulbTemperatureNOAA_F,ZoneLoadforFPVAV216_BTU_hr,ZoneLoadPredictionforFPVAV216_BTU_hr
1/2/2016 12:00:00 AM,44.06,810,135
1/2/2016 1:00:00 AM,44.06,-3510,405
1/2/2016 2:00:00 AM,44.165,-2835,405
1/2/2016 3:00:00 AM,44.855,-1755,135
1/2/2016 4:00:00 AM,44.165,405,-135
1/2/2016 5:00:00 AM,44.96,540,135
1/2/2016 6:00:00 AM,44.96,-1755,-135
1/2/2016 7:00:00 AM,44.855,540,675
1/2/2016 8:00:00 AM,44.291,675,675
1/2/2016 9:00:00 AM,46.04,-945,1485
1/2/2016 10:00:00 AM,46.271,-540,1485
1/2/2016 11:00:00 AM,48.02,-540,1687.5
1/2/2016 12:00:00 PM,48.125,-675,1687.5
1/2/2016 1:00:00 PM,48.92,1215,1687.5
1/2/2016 2:00:00 PM,48.92,-945,1755
1/2/2016 3:00:00 PM,48.815,-135,1215
1/2/2016 4:00:00 PM,48.02,0,1282.5
1/2/2016 5:00:00 PM,47.894,0,1350
1/2/2016 6:00:00 PM,46.835,-540,1350
1/2/2016 7:00:00 PM,46.04,135,1485
1/2/2016 8:00:00 PM,45.914,-135,1485
1/2/2016 9:00:00 PM,44.855,-1350,1485
1/2/2016 10:00:00 PM,44.06,-810,945
1/2/2016 11:00:00 PM,44.06,-675,1080
1/3/2016 12:00:00 AM,44.06,-1620,1282.5
1/3/2016 1:00:00 AM,44.06,-675,1147.5
1/3/2016 2:00:00 AM,44.06,0,1080
1/3/2016 3:00:00 AM,44.06,-1755,1012.5
1/3/2016 4:00:00 AM,43.934,945,1080
1/3/2016 5:00:00 AM,42.98,-810,1080
1/3/2016 6:00:00 AM,43.106,-675,1080
1/3/2016 7:00:00 AM,44.06,-675,1282.5
1/3/2016 8:00:00 AM,44.291,-945,1215
1/3/2016 9:00:00 AM,46.502,1620,1417.5
1/3/2016 10:00:00 AM,50.231,675,1485
1/3/2016 11:00:00 AM,52.442,1755,1350
1/3/2016 12:00:00 PM,56.171,1350,1350
1/3/2016 1:00:00 PM,58.046,945,945
1/3/2016 2:00:00 PM,59.126,1080,945
1/3/2016 3:00:00 PM,60.08,810,945
1/3/2016 4:00:00 PM,59.828,945,1080
1/3/2016 5:00:00 PM,57.353,945,1620
1/3/2016 6:00:00 PM,52.703,1350,1350
1/3/2016 7:00:00 PM,49.874,945,1350
1/3/2016 8:00:00 PM,48.584,1485,1080
1/3/2016 9:00:00 PM,45.809,-810,1080
1/3/2016 10:00:00 PM,44.291,-810,0
1/3/2016 11:00:00 PM,45.683,0,810
1/4/2016 12:00:00 AM,42.518,810,607.5
1/4/2016 1:00:00 AM,38.894,675,405
1/4/2016 2:00:00 AM,38.171,-1485,0
1/4/2016 3:00:00 AM,39.689,-1215,-675
1/4/2016 4:00:00 AM,37.94,-1755,0
1/4/2016 5:00:00 AM,37.478,-1890,405
1/4/2016 6:00:00 AM,34.106,-2430,405
1/4/2016 7:00:00 AM,35.06,-1350,810
1/4/2016 8:00:00 AM,35.627,135,405
1/4/2016 9:00:00 AM,40.634,405,877.5
1/4/2016 10:00:00 AM,46.502,1755,810
1/4/2016 11:00:00 AM,50.231,2025,877.5
1/4/2016 12:00:00 PM,52.337,1485,877.5
1/4/2016 1:00:00 PM,55.271,1485,1417.5
1/4/2016 2:00:00 PM,57.125,1620,1350
1/4/2016 3:00:00 PM,57.92,1350,1215
1/4/2016 4:00:00 PM,57.689,1080,1080
1/4/2016 5:00:00 PM,55.478,945,1215
1/4/2016 6:00:00 PM,51.623,1350,1485
1/4/2016 7:00:00 PM,48.815,1350,1755
1/4/2016 8:00:00 PM,47.789,0,1485
1/4/2016 9:00:00 PM,45.914,945,1012.5
1/4/2016 10:00:00 PM,44.96,-945,877.5
1/4/2016 11:00:00 PM,44.729,-945,-67.5
1/5/2016 12:00:00 AM,42.749,1485,-2025
1/5/2016 1:00:00 AM,40.874,1215,-810
1/5/2016 2:00:00 AM,39.815,945,540
1/5/2016 3:00:00 AM,38.894,-1890,405
1/5/2016 4:00:00 AM,37.835,135,-810
1/5/2016 5:00:00 AM,36.914,-405,405
1/5/2016 6:00:00 AM,35.96,-1620,472.5
