Date,OADryBulbTemperatureNOAA_F,ZoneLoadforFPVAV17_BTU_hr,ZoneLoadPredictionforFPVAV17_BTU_hr
1/4/2016 6:00:00 AM,34.106,-756,-8316
1/4/2016 7:00:00 AM,35.06,-19278,-8316
1/4/2016 8:00:00 AM,35.627,-18144,-11718
1/4/2016 9:00:00 AM,40.634,-15498,-2835
1/4/2016 10:00:00 AM,46.502,-15120,4158
1/4/2016 11:00:00 AM,50.231,3024,4158
1/4/2016 12:00:00 PM,52.337,3402,4158
1/4/2016 1:00:00 PM,55.271,3780,7938
1/4/2016 2:00:00 PM,57.125,4914,8694
1/4/2016 3:00:00 PM,57.92,4536,7560
1/4/2016 4:00:00 PM,57.689,4536,4158
1/4/2016 5:00:00 PM,55.478,4914,3024
1/4/2016 6:00:00 PM,51.623,3780,2646
1/5/2016 6:00:00 AM,35.96,-5292,-3402
1/5/2016 7:00:00 AM,35.96,-15120,-3402
1/5/2016 8:00:00 AM,35.96,1512,-8883
1/5/2016 9:00:00 AM,36.191,3024,-14364
1/5/2016 10:00:00 AM,38.528,2646,-14364
1/5/2016 11:00:00 AM,43.211,3780,-3591
1/5/2016 12:00:00 PM,45.317,3402,5670
1/5/2016 1:00:00 PM,48.377,3780,5859
1/5/2016 2:00:00 PM,51.416,4158,6048
1/5/2016 3:00:00 PM,54.086,4536,6048
1/5/2016 4:00:00 PM,54.809,4536,5859
1/5/2016 5:00:00 PM,52.703,4536,6048
1/5/2016 6:00:00 PM,49.874,4158,5670
1/6/2016 6:00:00 AM,44.96,-4158,-2268
1/6/2016 7:00:00 AM,44.06,756,-2079
1/6/2016 8:00:00 AM,44.165,1512,-1890
1/6/2016 9:00:00 AM,45.086,2646,-2079
1/6/2016 10:00:00 AM,46.376,4914,1512
1/6/2016 11:00:00 AM,49.277,3780,5292
1/6/2016 12:00:00 PM,51.98,4158,6048
1/6/2016 1:00:00 PM,54.191,4536,5859
1/6/2016 2:00:00 PM,56.066,8694,6237
1/6/2016 3:00:00 PM,57.125,4914,7938
1/6/2016 4:00:00 PM,57.92,4536,5670
1/6/2016 5:00:00 PM,57.92,4536,5670
1/6/2016 6:00:00 PM,57.92,4914,5670
1/7/2016 7:00:00 AM,55.8725,2268,378
1/7/2016 8:00:00 AM,55.6575862068966,3780,4536
1/7/2016 9:00:00 AM,53.96,4158,4914
1/7/2016 10:00:00 AM,55.04,4914,5103
1/7/2016 11:00:00 AM,57.02,6048,5292
1/7/2016 12:00:00 PM,57.02,4914,5292
1/7/2016 1:00:00 PM,57.02,7560,5670
1/7/2016 2:00:00 PM,57.125,8694,7182
1/7/2016 3:00:00 PM,58.088,13608,7938
1/7/2016 4:00:00 PM,59.231,6048,8316
1/7/2016 5:00:00 PM,60.518,6048,7938
1/7/2016 6:00:00 PM,56.789,8694,6426
1/8/2016 6:00:00 AM,48.125,-4536,3024
1/8/2016 7:00:00 AM,48.8331034482759,1134,3024
1/8/2016 8:00:00 AM,48.5333333333333,2646,3024
1/8/2016 9:00:00 AM,50.231,2268,5481
1/8/2016 10:00:00 AM,52.75,4158,5859
1/8/2016 11:00:00 AM,55.04,4914,7371
1/8/2016 12:00:00 PM,56.066,4914,9450
1/8/2016 1:00:00 PM,57.3905882352941,7560,9828
1/8/2016 2:00:00 PM,59.168,17010,10017
1/8/2016 3:00:00 PM,60.3663636363636,9450,9450
1/8/2016 4:00:00 PM,59.21,7560,10017
1/8/2016 5:00:00 PM,60.08,7182,10017
1/8/2016 6:00:00 PM,59,8316,10017
1/11/2016 6:00:00 AM,33.08,-6048,-7371
1/11/2016 7:00:00 AM,33.185,-19278,-7371
1/11/2016 8:00:00 AM,34.211,-17766,-7371
1/11/2016 9:00:00 AM,36.674,-13986,-15498
1/11/2016 10:00:00 AM,42.542,2268,-5859
1/11/2016 11:00:00 AM,46.502,3402,4536
1/11/2016 12:00:00 PM,50.231,3780,3024
1/11/2016 1:00:00 PM,51.98,2646,3591
1/11/2016 2:00:00 PM,52.106,4536,3780
1/11/2016 3:00:00 PM,53.165,3402,3780
1/11/2016 4:00:00 PM,53.855,5292,3780
1/11/2016 5:00:00 PM,52.703,3780,3780
1/11/2016 6:00:00 PM,49.538,4536,1890
1/12/2016 6:00:00 AM,34.934,-5292,-4158
1/12/2016 7:00:00 AM,34.106,-7560,-3780
1/12/2016 8:00:00 AM,35.753,378,-4536
1/12/2016 9:00:00 AM,41.924,1512,-3024
1/12/2016 10:00:00 AM,49.403,1890,5670
1/12/2016 11:00:00 AM,53.396,2646,6426
1/12/2016 12:00:00 PM,56.528,3024,6048
1/12/2016 1:00:00 PM,61.106,4158,8694
1/12/2016 2:00:00 PM,62.06,4536,8694
1/12/2016 3:00:00 PM,62.06,4158,8694
1/12/2016 4:00:00 PM,62.165,4914,nan
1/12/2016 5:00:00 PM,62.372,4536,3024
1/12/2016 6:00:00 PM,56.996,4914,4536
1/13/2016 6:00:00 AM,39.02,1134,nan
1/13/2016 7:00:00 AM,39.02,0,nan
1/13/2016 8:00:00 AM,39.713,1512,1134
1/13/2016 9:00:00 AM,45.674,2268,1134
1/13/2016 10:00:00 AM,51.416,4536,5292
1/13/2016 11:00:00 AM,54.548,4914,5292
1/13/2016 12:00:00 PM,59.357,3780,8127
1/13/2016 1:00:00 PM,62.165,4536,7938
1/13/2016 2:00:00 PM,62.96,6804,7938
1/13/2016 3:00:00 PM,62.96,5670,4158
1/13/2016 4:00:00 PM,62.855,7182,4347
1/13/2016 5:00:00 PM,61.472,4914,4158
1/13/2016 6:00:00 PM,56.663,5670,4914
1/14/2016 6:00:00 AM,50,-5292,-3780
1/14/2016 7:00:00 AM,50.126,1134,3402
1/14/2016 8:00:00 AM,51.311,2646,3969
1/14/2016 9:00:00 AM,53.396,3780,4158
1/14/2016 10:00:00 AM,56.423,4536,4914
1/14/2016 11:00:00 AM,60.311,4158,5859
1/14/2016 12:00:00 PM,62.6144,4914,6993
1/14/2016 1:00:00 PM,65.1690909090909,12474,6993
1/14/2016 2:00:00 PM,68,15876,11340
1/14/2016 3:00:00 PM,67.874,15876,11340
1/14/2016 4:00:00 PM,66.689,14742,6048
1/14/2016 5:00:00 PM,64.604,9450,6048
1/14/2016 6:00:00 PM,61.577,7182,8694
1/15/2016 6:00:00 AM,53.624,2268,-3402
1/15/2016 7:00:00 AM,51.08,4536,2457
1/15/2016 8:00:00 AM,51.416,4914,2835
1/15/2016 9:00:00 AM,54.191,7182,4914
1/15/2016 10:00:00 AM,56.171,7938,5292
1/15/2016 11:00:00 AM,58.277,6804,6804
1/15/2016 12:00:00 PM,61.442,6804,7560
1/15/2016 1:00:00 PM,65.066,9450,7560
1/15/2016 2:00:00 PM,66.02,10584,10395
1/15/2016 3:00:00 PM,66.251,16254,13230
1/15/2016 4:00:00 PM,67.769,11340,9072
1/15/2016 5:00:00 PM,65.558,9450,nan
1/15/2016 6:00:00 PM,61.115,7938,7182
1/19/2016 6:00:00 AM,44.96,378,1512
1/19/2016 7:00:00 AM,45.191,756,1890
1/19/2016 8:00:00 AM,47.528,1512,3780
1/19/2016 9:00:00 AM,52.673,4158,3024
1/19/2016 10:00:00 AM,58.403,6426,4158
1/19/2016 11:00:00 AM,62.522,7938,4158
1/19/2016 12:00:00 PM,66.125,8694,4536
1/19/2016 1:00:00 PM,66.92,14364,4536
1/19/2016 2:00:00 PM,67.046,21546,4536
1/19/2016 3:00:00 PM,68,18900,7938
1/19/2016 4:00:00 PM,67.769,19278,4158
1/19/2016 5:00:00 PM,65.789,10962,4536
1/19/2016 6:00:00 PM,63.578,7182,4536
1/20/2016 6:00:00 AM,45.914,-4158,1134
1/20/2016 7:00:00 AM,44.6975,756,1512
1/20/2016 8:00:00 AM,43.106,2268,1512
1/20/2016 9:00:00 AM,44.291,3780,1512
1/20/2016 10:00:00 AM,46.04,6048,2268
1/20/2016 11:00:00 AM,47.423,6804,4158
1/20/2016 12:00:00 PM,51.3841379310345,9828,5292
1/20/2016 1:00:00 PM,54.191,9072,4914
1/20/2016 2:00:00 PM,56.171,13986,4914
1/20/2016 3:00:00 PM,57.92,9072,4914
1/20/2016 4:00:00 PM,58.235,14742,4914
