SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
48.4,45267,40431,1120.9,3715.2,784.68,400,0.69935,0.61657,0.026937,0.055839
48.45,45240,40424,1122.4,3693.6,786.35,400,0.69895,0.61646,0.026972,0.055515
48.5,45212,40417,1123.8,3672,788.02,400,0.69855,0.61635,0.027008,0.05519
48.55,45185,40409,1125.3,3650.4,789.7,400,0.69815,0.61624,0.027044,0.054866
48.6,45158,40402,1126.8,3628.8,791.39,400,0.69776,0.61614,0.02708,0.054541
48.65,45131,40395,1128.4,3607.2,793.08,400,0.69736,0.61603,0.027117,0.054216
48.7,45104,40389,1129.9,3585.6,794.79,400,0.69697,0.61593,0.027153,0.053892
48.75,45077,40382,1131.4,3564,796.5,400,0.69658,0.61582,0.02719,0.053567
48.8,45050,40375,1133,3542.4,798.21,400,0.69619,0.61572,0.027227,0.053242
48.85,45024,40368,1134.5,3520.8,799.94,400,0.6958,0.61562,0.027265,0.052918
48.9,44997,40362,1136.1,3499.2,801.67,400,0.69541,0.61551,0.027302,0.052593
48.95,44970,40355,1137.7,3477.6,803.41,400,0.69502,0.61541,0.02734,0.052268
49,44944,40349,1139.2,3456,805.15,400,0.69464,0.61531,0.027378,0.051944
49.05,44917,40342,1140.8,3434.4,806.91,400,0.69425,0.61522,0.027417,0.051619
49.1,44891,40336,1142.4,3412.8,808.67,400,0.69387,0.61512,0.027455,0.051294
49.15,44865,40329,1144.1,3391.2,810.44,400,0.69349,0.61502,0.027494,0.05097
49.2,44838,40323,1145.7,3369.6,812.22,400,0.69311,0.61493,0.027533,0.050645
49.25,44812,40317,1147.3,3348,814,400,0.69273,0.61483,0.027573,0.05032
49.3,44786,40311,1149,3326.4,815.79,400,0.69235,0.61474,0.027612,0.049996
49.35,44760,40305,1150.6,3304.8,817.59,400,0.69197,0.61465,0.027652,0.049671
49.4,44734,40299,1152.3,3283.2,819.4,400,0.6916,0.61456,0.027692,0.049346
49.45,44709,40293,1154,3261.6,821.22,400,0.69122,0.61447,0.027733,0.049022
49.5,44683,40287,1155.7,3240,823.05,400,0.69085,0.61438,0.027773,0.048697
49.55,44657,40281,1157.4,3218.4,824.88,400,0.69048,0.61429,0.027814,0.048373
49.6,44632,40276,1159.1,3196.8,826.72,400,0.69011,0.6142,0.027856,0.048048
49.65,44606,40270,1160.8,3175.2,828.57,400,0.68974,0.61412,0.027897,0.047723
49.7,44581,40264,1162.6,3153.6,830.43,400,0.68937,0.61403,0.027939,0.047399
49.75,44555,40259,1164.3,3132,832.29,400,0.689,0.61395,0.027981,0.047074
49.8,44530,40254,1166.1,3110.4,834.17,400,0.68864,0.61387,0.028023,0.046749
