Date,OADryBulbTemperatureNOAA_F,ZoneLoadforFPVAV11_BTU_hr,ZoneLoadPredictionforFPVAV11_BTU_hr
1/19/2016 8:00:00 AM,47.528,-19980,-5594.4
1/19/2016 9:00:00 AM,52.673,-17582.4,-5994
1/19/2016 10:00:00 AM,58.403,-18381.6,-5594.4
1/19/2016 11:00:00 AM,62.522,-1998,-4395.6
1/19/2016 12:00:00 PM,66.125,-1998,-3996
1/19/2016 1:00:00 PM,66.92,799.2,-4195.8
1/19/2016 2:00:00 PM,67.046,399.6,-3996
1/19/2016 3:00:00 PM,68,0,-3396.6
1/19/2016 4:00:00 PM,67.769,399.6,-3596.4
1/19/2016 5:00:00 PM,65.789,399.6,-4395.6
1/20/2016 8:00:00 AM,43.106,-12787.2,-6793.2
1/20/2016 9:00:00 AM,44.291,-16383.6,-6393.6
1/20/2016 10:00:00 AM,46.04,-15584.4,-5994
1/20/2016 11:00:00 AM,47.423,-799.2,-4395.6
1/20/2016 12:00:00 PM,51.3841379310345,2797.2,-3196.8
1/20/2016 1:00:00 PM,54.191,1198.8,-3196.8
1/20/2016 2:00:00 PM,56.171,1998,-3196.8
1/20/2016 3:00:00 PM,57.92,799.2,-3996
1/20/2016 4:00:00 PM,58.235,-399.6,-3996
1/20/2016 5:00:00 PM,57.689,0,-3996
1/21/2016 8:00:00 AM,63.1890909090909,0,-799.2
1/21/2016 9:00:00 AM,63.8662068965517,799.2,-799.2
1/21/2016 10:00:00 AM,62.06,1198.8,-1598.4
1/21/2016 11:00:00 AM,62.96,399.6,-799.2
1/21/2016 12:00:00 PM,64.2981132075472,1198.8,-799.2
1/21/2016 1:00:00 PM,57.02,799.2,-2797.2
1/21/2016 2:00:00 PM,57.02,399.6,-2797.2
1/21/2016 3:00:00 PM,55.604,1198.8,-2797.2
1/21/2016 4:00:00 PM,52.64,1998,-3596.4
1/21/2016 5:00:00 PM,50.723,1598.4,-4395.6
1/22/2016 8:00:00 AM,39.125,-19980,-2797.2
1/22/2016 9:00:00 AM,40.277,-19580.4,-4395.6
1/22/2016 10:00:00 AM,43.211,-18381.6,-2397.6
1/22/2016 11:00:00 AM,45.317,-19580.4,-2797.2
1/22/2016 12:00:00 PM,48.125,-19580.4,-2797.2
1/22/2016 1:00:00 PM,49.046,-20379.6,-2397.6
1/22/2016 2:00:00 PM,50.126,-20779.2,-2397.6
1/25/2016 8:00:00 AM,56.654,-18781.2,-17182.8
1/25/2016 9:00:00 AM,62.522,-19180.8,nan
1/25/2016 10:00:00 AM,66.44,-2797.2,nan
1/25/2016 11:00:00 AM,69.1668965517241,-799.2,nan
1/25/2016 12:00:00 PM,69.185,-399.6,nan
1/25/2016 1:00:00 PM,70.337,799.2,nan
1/25/2016 2:00:00 PM,73.145,1198.8,nan
1/25/2016 3:00:00 PM,73.94,1998,nan
1/25/2016 4:00:00 PM,73.835,2397.6,nan
