Date,OADryBulbTemperatureNOAA_F,ZoneLoadforFPVAV22_BTU_hr,ZoneloadpredictionforFPVAV22_BTU_hr
1/2/2016 12:00:00 AM,44.06,nan,14850
1/2/2016 1:00:00 AM,44.06,8910,14850
1/2/2016 2:00:00 AM,44.165,9504,14850
1/2/2016 3:00:00 AM,44.855,7722,14256
1/2/2016 4:00:00 AM,44.165,7722,14256
1/2/2016 5:00:00 AM,44.96,6534,14256
1/2/2016 6:00:00 AM,44.96,8910,14553
1/2/2016 7:00:00 AM,44.855,8910,14553
1/2/2016 8:00:00 AM,44.291,8316,14256
1/2/2016 9:00:00 AM,46.04,7128,15444
1/2/2016 10:00:00 AM,46.271,8910,15444
1/2/2016 11:00:00 AM,48.02,7722,15147
1/2/2016 12:00:00 PM,48.125,7128,14850
1/2/2016 1:00:00 PM,48.92,8910,15444
1/2/2016 2:00:00 PM,48.92,8910,15444
1/2/2016 3:00:00 PM,48.815,9504,15147
1/2/2016 4:00:00 PM,48.02,7722,14850
1/2/2016 5:00:00 PM,47.894,8910,13662
1/2/2016 6:00:00 PM,46.835,7722,13662
1/2/2016 7:00:00 PM,46.04,10098,13068
1/2/2016 8:00:00 PM,45.914,9504,13068
1/2/2016 9:00:00 PM,44.855,8316,12474
1/2/2016 10:00:00 PM,44.06,8316,11880
1/2/2016 11:00:00 PM,44.06,7722,11880
1/3/2016 12:00:00 AM,44.06,nan,10692
1/3/2016 1:00:00 AM,44.06,9504,10098
1/3/2016 2:00:00 AM,44.06,6534,10098
1/3/2016 3:00:00 AM,44.06,7722,9504
1/3/2016 4:00:00 AM,43.934,8316,9504
1/3/2016 5:00:00 AM,42.98,7722,9504
1/3/2016 6:00:00 AM,43.106,7722,9801
1/3/2016 7:00:00 AM,44.06,8316,10098
1/3/2016 8:00:00 AM,44.291,10098,10395
1/3/2016 9:00:00 AM,46.502,10098,11286
1/3/2016 10:00:00 AM,50.231,9504,16632
1/3/2016 11:00:00 AM,52.442,10098,16632
1/3/2016 12:00:00 PM,56.171,10098,15741
1/3/2016 1:00:00 PM,58.046,11286,15741
1/3/2016 2:00:00 PM,59.126,11880,17820
1/3/2016 3:00:00 PM,60.08,11880,15444
1/3/2016 4:00:00 PM,59.828,11880,19899
1/3/2016 5:00:00 PM,57.353,11880,17226
1/3/2016 6:00:00 PM,52.703,10692,15444
1/3/2016 7:00:00 PM,49.874,10692,15741
1/3/2016 8:00:00 PM,48.584,8910,15444
1/3/2016 9:00:00 PM,45.809,7722,14256
1/3/2016 10:00:00 PM,44.291,7722,13068
1/3/2016 11:00:00 PM,45.683,8910,13365
1/4/2016 12:00:00 AM,42.518,nan,11286
1/4/2016 1:00:00 AM,38.894,9504,11286
1/4/2016 2:00:00 AM,38.171,10692,10098
1/4/2016 3:00:00 AM,39.689,10692,9504
1/4/2016 4:00:00 AM,37.94,10692,9504
1/4/2016 5:00:00 AM,37.478,8910,9504
1/4/2016 6:00:00 AM,34.106,7128,9504
1/4/2016 7:00:00 AM,35.06,9504,9504
1/4/2016 8:00:00 AM,35.627,11286,9504
1/4/2016 9:00:00 AM,40.634,14850,10989
1/4/2016 10:00:00 AM,46.502,17226,14850
1/4/2016 11:00:00 AM,50.231,21978,17820
1/4/2016 12:00:00 PM,52.337,26730,21384
1/4/2016 1:00:00 PM,55.271,40986,26136
1/4/2016 2:00:00 PM,57.125,52272,36828
1/4/2016 3:00:00 PM,57.92,45144,35937
1/4/2016 4:00:00 PM,57.689,36234,32076
1/4/2016 5:00:00 PM,55.478,38016,18711
1/4/2016 6:00:00 PM,51.623,19008,17820
1/4/2016 7:00:00 PM,48.815,17226,16632
1/4/2016 8:00:00 PM,47.789,16632,16038
1/4/2016 9:00:00 PM,45.914,14256,16038
1/4/2016 10:00:00 PM,44.96,16632,14256
1/4/2016 11:00:00 PM,44.729,15444,13662
1/5/2016 12:00:00 AM,42.749,nan,9504
1/5/2016 1:00:00 AM,40.874,nan,9801
1/5/2016 2:00:00 AM,39.815,14256,9801
1/5/2016 3:00:00 AM,38.894,13068,9801
1/5/2016 4:00:00 AM,37.835,11286,9801
1/5/2016 5:00:00 AM,36.914,13662,10098
1/5/2016 6:00:00 AM,35.96,13068,10098
1/5/2016 7:00:00 AM,35.96,9504,10098
1/5/2016 8:00:00 AM,35.96,12474,9801
1/5/2016 9:00:00 AM,36.191,14256,9504
1/5/2016 10:00:00 AM,38.528,16038,10692
1/5/2016 11:00:00 AM,43.211,21384,14850
1/5/2016 12:00:00 PM,45.317,24948,14850
