Date,OADryBulbTemperatureNOAA_F,ZoneLoadforFPVAV21_BTU_hr,ZoneloadpredictionforFPVAV21_BTU_hr
1/2/2016 12:00:00 AM,44.06,nan,8100
1/2/2016 1:00:00 AM,44.06,2700,8100
1/2/2016 2:00:00 AM,44.165,7560,8100
1/2/2016 3:00:00 AM,44.855,7020,8100
1/2/2016 4:00:00 AM,44.165,-9720,8100
1/2/2016 5:00:00 AM,44.96,-9720,8100
1/2/2016 6:00:00 AM,44.96,-9180,8100
1/2/2016 7:00:00 AM,44.855,-8100,8100
1/2/2016 8:00:00 AM,44.291,-9180,8100
1/2/2016 9:00:00 AM,46.04,1620,8100
1/2/2016 10:00:00 AM,46.271,2160,8100
1/2/2016 11:00:00 AM,48.02,-1080,7830
1/2/2016 12:00:00 PM,48.125,-2160,7560
1/2/2016 1:00:00 PM,48.92,-540,7560
1/2/2016 2:00:00 PM,48.92,-1620,7560
1/2/2016 3:00:00 PM,48.815,7020,7560
1/2/2016 4:00:00 PM,48.02,7560,7560
1/2/2016 5:00:00 PM,47.894,6480,7560
1/2/2016 6:00:00 PM,46.835,-5940,7560
1/2/2016 7:00:00 PM,46.04,-6480,7560
1/2/2016 8:00:00 PM,45.914,-8100,7560
1/2/2016 9:00:00 PM,44.855,6480,7560
1/2/2016 10:00:00 PM,44.06,-2160,7560
1/2/2016 11:00:00 PM,44.06,-3240,7560
1/3/2016 12:00:00 AM,44.06,nan,7560
1/3/2016 1:00:00 AM,44.06,1080,7020
1/3/2016 2:00:00 AM,44.06,0,7020
1/3/2016 3:00:00 AM,44.06,1080,7020
1/3/2016 4:00:00 AM,43.934,1080,6750
1/3/2016 5:00:00 AM,42.98,1080,7020
1/3/2016 6:00:00 AM,43.106,-540,7020
1/3/2016 7:00:00 AM,44.06,-3240,6750
1/3/2016 8:00:00 AM,44.291,-2160,6480
1/3/2016 9:00:00 AM,46.502,2160,7020
1/3/2016 10:00:00 AM,50.231,-3240,8100
1/3/2016 11:00:00 AM,52.442,7560,8370
1/3/2016 12:00:00 PM,56.171,5400,8100
1/3/2016 1:00:00 PM,58.046,8100,7290
1/3/2016 2:00:00 PM,59.126,9180,7020
1/3/2016 3:00:00 PM,60.08,8640,7020
1/3/2016 4:00:00 PM,59.828,8100,7020
1/3/2016 5:00:00 PM,57.353,8100,7560
1/3/2016 6:00:00 PM,52.703,7560,8370
1/3/2016 7:00:00 PM,49.874,7560,8100
1/3/2016 8:00:00 PM,48.584,7020,8100
1/3/2016 9:00:00 PM,45.809,5940,8100
1/3/2016 10:00:00 PM,44.291,7560,8100
1/3/2016 11:00:00 PM,45.683,-5940,8100
1/4/2016 12:00:00 AM,42.518,nan,7560
1/4/2016 1:00:00 AM,38.894,-8100,7020
1/4/2016 2:00:00 AM,38.171,-8100,7020
1/4/2016 3:00:00 AM,39.689,-3780,6750
1/4/2016 4:00:00 AM,37.94,8100,5940
1/4/2016 5:00:00 AM,37.478,7020,5670
1/4/2016 6:00:00 AM,34.106,-7020,5670
1/4/2016 7:00:00 AM,35.06,-7020,4860
1/4/2016 8:00:00 AM,35.627,7560,4860
1/4/2016 9:00:00 AM,40.634,5940,4590
1/4/2016 10:00:00 AM,46.502,4860,6750
1/4/2016 11:00:00 AM,50.231,5940,7020
1/4/2016 12:00:00 PM,52.337,8100,7020
1/4/2016 1:00:00 PM,55.271,11340,7560
1/4/2016 2:00:00 PM,57.125,9180,9720
1/4/2016 3:00:00 PM,57.92,8100,9720
1/4/2016 4:00:00 PM,57.689,10260,8640
1/4/2016 5:00:00 PM,55.478,12960,8100
1/4/2016 6:00:00 PM,51.623,7020,8640
1/4/2016 7:00:00 PM,48.815,8640,8640
1/4/2016 8:00:00 PM,47.789,9180,8100
1/4/2016 9:00:00 PM,45.914,7560,8100
1/4/2016 10:00:00 PM,44.96,8640,7290
1/4/2016 11:00:00 PM,44.729,9180,7290
1/5/2016 12:00:00 AM,42.749,nan,-9180
1/5/2016 1:00:00 AM,40.874,nan,-10800
1/5/2016 2:00:00 AM,39.815,8640,-10800
1/5/2016 3:00:00 AM,38.894,7020,-10800
1/5/2016 4:00:00 AM,37.835,7560,-11340
1/5/2016 5:00:00 AM,36.914,9180,-11880
1/5/2016 6:00:00 AM,35.96,9180,-11880
1/5/2016 7:00:00 AM,35.96,6480,-11880
1/5/2016 8:00:00 AM,35.96,9720,-11880
1/5/2016 9:00:00 AM,36.191,8100,-11880
1/5/2016 10:00:00 AM,38.528,8100,-11880
1/5/2016 11:00:00 AM,43.211,5940,6750
1/5/2016 12:00:00 PM,45.317,7560,6750
1/5/2016 1:00:00 PM,48.377,11340,6210
1/5/2016 2:00:00 PM,51.416,12420,8640
1/5/2016 3:00:00 PM,54.086,11880,8640
1/5/2016 4:00:00 PM,54.809,10260,8640
1/5/2016 5:00:00 PM,52.703,12420,8640
1/5/2016 6:00:00 PM,49.874,8100,8640
1/5/2016 7:00:00 PM,48.689,10260,8640
1/5/2016 8:00:00 PM,47.066,8100,8910
1/5/2016 9:00:00 PM,47.894,8100,8910
1/5/2016 10:00:00 PM,46.835,9720,8910
1/5/2016 11:00:00 PM,46.04,7020,8370
1/6/2016 12:00:00 AM,46.04,nan,8100
1/6/2016 1:00:00 AM,46.04,8640,8100
1/6/2016 2:00:00 AM,46.04,8640,8100
1/6/2016 3:00:00 AM,46.04,7560,8100
1/6/2016 4:00:00 AM,45.914,8100,8100
1/6/2016 5:00:00 AM,44.96,7560,7560
1/6/2016 6:00:00 AM,44.96,8100,7830
